fen,game_id
4rr1k/2pb2b1/1p1p1q1p/3P2p1/p1PpB3/3Q1P1P/PP1NR1P1/K6R b - - 0 24,e10
r4r1k/2pb2b1/1p1p1q1p/3P2p1/2PpB3/pP1Q1P1P/P2NR1P1/1K5R b - - 0 26,e10
r4r1k/2pb2b1/3p1q1p/3P2p1/2NpB3/pP1Q1P1P/P3R1P1/1KR5 b - - 0 28,e10
1r3r1k/2p3b1/3p1q1p/1b1P2p1/2NpB3/pP1Q1P1P/P1R1R1P1/2K5 b - - 4 30,e10
1r3r1k/2p3b1/3p3p/1b1P2p1/2NpB3/pP1Q1P1P/P1R2RPq/3K4 b - - 8 32,e10
1r3r1k/2p3b1/3p4/1b1P3p/2NpB1P1/pP1Q1P2/P1R1KRPq/8 b - - 0 34,e10
rnb1kb1r/pp2pppp/1qp5/1N1n4/2PP4/6B1/PP3PPP/R2QKBNR b KQkq - 0 8,e11
rnb1kb1r/pp3ppp/1q2p3/1p1P4/3P4/1Q4B1/PP3PPP/R3KBNR b KQkq - 1 10,e11
rnb1kb1r/1p3ppp/pq6/1p1p4/3P4/1Q1B1NB1/PP3PPP/R3K2R b KQkq - 1 12,e11
rn2kb1r/1p3ppp/p3b3/qp1p4/3P4/1Q1B1NB1/PP3PPP/4RK1R b kq - 5 14,e11
r3k2r/1p2bppp/p1n1b3/qp1p3P/3P4/1Q1B1NB1/PP3PP1/4RK1R b kq - 0 16,e11
r4rk1/1p2bpp1/p1n1b2p/qp1p3P/3P4/PQ3NB1/1P3PP1/1B2RK1R b - - 2 18,e11
r3r1k1/1p2b1p1/p1n1R2p/qp1p1p1P/3P4/P2Q1NB1/1P3PP1/1B3K1R b - - 0 20,e11
r4rk1/1p2b1p1/p3R2p/qp1pBp1P/3P4/P2Q4/1P3PP1/1B3K1R b - - 0 22,e11
4rrk1/1p2b1p1/p3R2p/1p1pBp1P/3P4/P7/1P3PP1/1B2qQKR b - - 4 24,e11
4rrk1/1p2b1p1/p3R2p/1p1pBp1P/3P1P2/P7/1q4PK/1B3Q1R b - - 0 26,e11
4r1k1/1p4p1/p6p/1p1pBB1P/3P1P2/b7/1q4PK/5Q1R b - - 0 28,e11
4r2k/1p2b1p1/p6p/1p1BB2P/3P1P2/8/1q4PK/5Q1R b - - 0 30,e11
4r2k/1p2bBp1/p6p/4B2P/1p1P1P2/3Q4/5qPK/7R b - - 3 32,e11
4r2k/1p2bBp1/p6p/4B2P/1p1P1P2/8/6P1/4qQKR b - - 7 34,e11
rn1qk2r/pbpp1ppp/1p2p3/8/2PPn3/2B2NP1/PPQ1PP1P/R3KB1R b KQkq - 2 8,e12
rn1qk2r/pbp2ppp/1p1pp3/8/2PP4/2Q2NP1/PP2PPBP/R3K2R b KQkq - 1 10,e12
r2q1rk1/pbpn1ppp/1p1pp3/8/1PPP4/2Q2NP1/P3PPBP/R4RK1 b - - 0 12,e12
r4rk1/1bpnqppp/1p1pp3/p7/1PPP4/P1Q1PNP1/5PBP/R4RK1 b - - 0 14,e12
r4rk1/2pnqppp/1p1p4/p3p3/1PPP4/P1Q1P1P1/5PNP/R4RK1 b - - 0 16,e12
