fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r4rk1/5p2/5qp1/7p/1p2R2P/3Q1P2/1PP2bR1/1NK5 b - - 1 26,52,6SE2GH52,f8d8,434,33,f2h4,0.0088,0.0074,0.0081,0.0113,f2h4,f2h4,f2h4,f2h4,269.0,0.0113,0.0025,True
r4rk1/5p2/6R1/7p/1p5q/3Q1P2/1PP5/1NK5 b - - 0 28,56,6SE2GH52,f7g6,0,660,f7g6,0.8426,0.844,0.8325,0.7878,f7g6,f7g6,f7g6,f7g6,0.0,0.844,-0.0548,False
r4r1k/8/7Q/7p/1p5q/5P2/1PP5/1NK5 b - - 2 30,60,6SE2GH52,h8g8,0,0,h8g8,1.0,1.0,1.0,1.0,h8g8,h8g8,h8g8,h8g8,0.0,1.0,0.0,False
r4r1k/8/7Q/7p/1p5q/5P2/1PP5/1NK5 b - - 6 32,64,6SE2GH52,h8g8,0,0,h8g8,1.0,1.0,1.0,1.0,h8g8,h8g8,h8g8,h8g8,0.0,1.0,0.0,False
r1bqkb1r/p4ppp/2p1pn2/3pP3/8/2NB4/PPP2PPP/R1BQK2R b KQkq - 0 8,16,dJVtH2o5,f6d7,57,114,f6d7,0.7885,0.9237,0.977,0.9915,f6d7,f6d7,f6d7,f6d7,0.0,0.9915,0.203,False
r1bqk2r/p2n1ppp/2p1p3/3pP3/1b3P2/2NB4/PPP3PP/R1BQ1RK1 b kq - 2 10,20,dJVtH2o5,b4e7,12,5,c6c5,0.0035,0.0057,0.007,0.0072,e8g8,e8g8,e8g8,e8g8,0.0,0.0072,0.0037,False
r1bqk2r/p2n1ppp/4p3/2ppP3/5P2/P1PB4/2P3PP/R1BQ1RK1 b kq - 0 12,24,dJVtH2o5,e8g8,-48,34,d8b6,0.1264,0.1043,0.1103,0.1721,c5c4,c5c4,c5c4,c5c4,40.0,0.1721,0.0457,False
r3k2r/p2n1ppp/bq2p3/2ppP3/5P2/P1PBB3/2P3PP/R2Q1R1K b kq - 4 14,28,dJVtH2o5,a6d3,13,73,b6a5,0.3086,0.3515,0.3633,0.2852,a6d3,a6d3,a6d3,a6d3,0.0,0.3633,-0.0234,False
r3k2r/p2n1ppp/b3p3/q1p1P3/2Pp1P2/P2B4/2PB2PP/R2Q1R1K b kq - 1 16,32,dJVtH2o5,a5a4,-100,10,a5c7,0.2337,0.1627,0.1516,0.1942,a5c7,a5c7,a5c7,a5c7,27.0,0.2337,-0.0395,False
r3k2r/p1qn1p1p/b3p1p1/2p1P3/2Pp1P2/P2B3Q/2PB2PP/R4R1K b kq - 1 18,36,dJVtH2o5,d7b6,-49,33,h7h5,0.3269,0.4526,0.599,0.6372,d7b6,d7b6,d7b6,d7b6,0.0,0.6372,0.3103,False
r3k2r/pbqn1p2/4p1p1/2p1P2p/2Pp1P2/P2B3Q/2PBR1PP/5R1K b kq - 3 20,40,dJVtH2o5,d7b6,-78,19,e8c8,0.0659,0.0813,0.1061,0.1214,e8c8,e8c8,e8c8,e8c8,10.0,0.1214,0.0555,False
2kr3r/pbqn1p2/4p3/2p1P1Pp/2Pp4/P2B3Q/2PBR1PP/1R5K b - - 0 22,44,dJVtH2o5,d8g8,-294,2,d8g8,0.0932,0.1076,0.1202,0.1493,d7e5,d7e5,d7e5,d7e5,279.0,0.1493,0.0561,False
2k3rr/p1qn1p2/4p3/2p1P1Pp/2PpR3/P6Q/2PB2PP/1R5K b - - 0 24,48,dJVtH2o5,h5h4,-269,34,c7c6,0.0332,0.0216,0.015,0.0146,d7e5,d7e5,d7e5,d7e5,313.0,0.0332,-0.0186,True
2k3rr/p4p2/1nq1p3/2p1P1Pp/2Pp4/PQ6/2PB2PP/1R2R2K b - - 4 26,52,dJVtH2o5,h5h4,-273,25,h5h4,0.5918,0.6198,0.6493,0.6797,h5h4,h5h4,h5h4,h5h4,0.0,0.6797,0.0879,False
6rr/p1k2p2/1nq1p3/1Qp1P1P1/2Pp3p/P6P/2PB2P1/1R2R2K b - - 2 28,56,dJVtH2o5,c6b5,-27,220,c6b5,0.2775,0.2688,0.244,0.1943,c6b5,c6b5,g8b8,h8h5,340.0,0.2775,-0.0832,False
6rr/p1k2p2/4p3/1Pp1P1P1/2np3p/P6P/2P3P1/1RB1R2K b - - 2 30,60,dJVtH2o5,c7b6,-22,9,g8b8,0.2084,0.2252,0.1951,0.1405,h8h5,h8h5,h8h5,h8h5,70.0,0.2252,-0.0679,False
1r5r/2k2p2/p3p3/1Pp1P1P1/P1np3p/1R5P/2P3P1/2B1R2K b - - 1 32,64,dJVtH2o5,a6b5,29,92,a6b5,0.7334,0.7872,0.847,0.8588,a6b5,a6b5,a6b5,a6b5,0.0,0.8588,0.1254,False
7r/2k2p2/1r2p3/1Pp1P1P1/2np3p/5R1P/2P3P1/2B1R2K b - - 2 34,68,dJVtH2o5,b6b5,-82,34,h8f8,0.1668,0.099,0.0573,0.0352,h8f8,h8h7,h8h7,h8h7,56.0,0.1668,-0.1316,False
r3kbnr/1pp2ppp/p1nqp3/5b2/2B5/2NPBQP1/PPP2P1P/R3K1NR b KQkq - 3 8,16,DbNLygqd,e8c8,43,7,g8f6,0.3533,0.3593,0.3669,0.3909,e8c8,e8c8,e8c8,e8c8,0.0,0.3909,0.0376,False
2kr1b1r/1pp2ppp/p1nqpn2/5b2/2B5/2NPBQP1/PPP1NP1P/2KR3R b - - 7 10,20,DbNLygqd,f5g4,62,16,f8e7,0.1775,0.2564,0.3522,0.4094,f5g4,f5g4,f5g4,f5g4,0.0,0.4094,0.2319,False
2kr3r/1pp1bppp/p1n1pn2/5b2/1qB1N3/P2PBQP1/1PP1NP1P/2KR3R b - - 0 12,24,DbNLygqd,b4a5,92,31,b4a4,0.4311,0.4603,0.545,0.6115,b4a4,b4a4,b4a5,b4a5,0.0,0.6115,0.1804,False
2kr3r/1pp1bppp/p1n1pn2/1q3b2/4N3/PBNPBQP1/1PP2P1P/2KR3R b - - 4 14,28,DbNLygqd,f5e4,51,28,f5g4,0.0143,0.0116,0.0092,0.0053,b5a5,b5a5,b5a5,b5a5,28.0,0.0143,-0.009,False
2kr3r/1pp1bppp/p1n1p3/1N6/4N1n1/PB1PB1P1/1PP2P1P/2KR3R b - - 0 16,32,DbNLygqd,a6b5,-22,143,a6b5,0.8249,0.8319,0.8203,0.8119,a6b5,a6b5,a6b5,a6b5,0.0,0.8319,-0.013,False
2kr3r/1pp1bppp/2n1p3/1p6/4N3/PB1PP1PP/1PP5/2KR3R b - - 0 18,36,DbNLygqd,c8b8,-21,2,b5b4,0.0146,0.0173,0.0139,0.0204,f7f5,f7f5,c6a5,c6a5,15.0,0.0204,0.0058,False
2kr3r/1pp2ppp/2n1p3/8/1b2N3/1BPPP1PP/1P6/2KR3R b - - 0 20,40,DbNLygqd,b4f8,-114,0,b4e7,0.0073,0.0057,0.004,0.0042,b4a5,b4a5,b4a5,b4e7,130.0,0.0073,-0.0031,True
2kr3r/1pp1bppp/4p3/4n3/3PN3/1BP1P1PP/1PK5/3R3R b - - 0 22,44,DbNLygqd,e5d7,-69,237,e5c6,0.0259,0.0425,0.0636,0.1047,e5f3,e5c6,e5c6,e5c6,216.0,0.1047,0.0788,False
1k1r3r/1pp1bppp/2n1p3/8/3PN3/1BP1P1PP/RPK5/7R b - - 4 24,48,DbNLygqd,b7b5,-105,39,b7b6,0.0112,0.0058,0.0036,0.0024,f7f5,f7f5,f7f5,f7f5,248.0,0.0112,-0.0088,True
3r3r/1kp1bppp/1pn1p3/8/2BPN3/2P1P1PP/RPK5/R7 b - - 3 26,52,DbNLygqd,d8a8,-111,140,c6a5,0.2882,0.3583,0.421,0.5358,d8a8,d8a8,d8a8,d8a8,0.0,0.5358,0.2476,False
3r3r/1kp1b1pp/1p2p3/n4p2/3P4/2P1P1PP/RPKNB3/R7 b - - 1 28,56,DbNLygqd,c7c5,-338,40,e7g5,0.0451,0.041,0.0463,0.055,d8a8,d8a8,d8a8,d8a8,140.0,0.055,0.0099,False
3r3r/1kp3pp/1pn1p3/5pb1/1P1P4/2P1PBPP/R1KN4/R7 b - - 2 30,60,DbNLygqd,d8d5,-537,52,d8d5,0.0082,0.0063,0.0049,0.0041,g5e3,g5e3,g5e3,g5e3,1460.0,0.0082,-0.0041,True
7r/1kp3pp/1pn5/1P1p1pb1/3P4/2P1P1PP/R1KN4/R7 b - - 0 32,64,DbNLygqd,c6a5,-360,80,c6a5,0.7563,0.8213,0.8711,0.906,c6a5,c6a5,c6a5,c6a5,0.0,0.906,0.1497,False
4r3/1kp3pp/1p6/NP1p1pb1/3P4/2P1P1PP/R1K5/R7 b - - 0 34,68,DbNLygqd,b6a5,-414,144,b6a5,0.9485,0.9782,0.9889,0.9921,b6a5,b6a5,b6a5,b6a5,0.0,0.9921,0.0436,False
rnb2rk1/ppp1bppp/4Qn2/8/8/2N2N2/PPPP1PPP/R1B1KB1R b KQ - 0 8,16,rqqADhpk,c8e6,-100,107,c8e6,0.872,0.9407,0.9541,0.9725,c8e6,c8e6,c8e6,c8e6,0.0,0.9725,0.1005,False
rn3rk1/ppp2ppp/4bn2/8/1b1P4/2N1BN2/PPP2PPP/R3KB1R b KQ - 2 10,20,rqqADhpk,f6e4,-44,61,b4c3,0.206,0.2512,0.2936,0.2559,b8c6,f8e8,f6e4,f6d5,63.0,0.2936,0.0499,False
rn3rk1/ppp2ppp/4b3/8/2PPn3/4BN2/P1P2PPP/R3KB1R b KQ - 0 12,24,rqqADhpk,b8d7,-216,1,e6g4,0.0474,0.059,0.0696,0.0906,b8c6,b8c6,f8e8,c7c6,15.0,0.0906,0.0432,False
rn3rk1/ppp2ppp/8/8/2PP2b1/2n1BP2/P1PN2PP/R3KB1R b KQ - 0 14,28,rqqADhpk,g4f5,-239,14,g4f5,0.4529,0.4234,0.3782,0.3798,g4f5,g4f5,g4f5,g4f5,0.0,0.4529,-0.0731,False
rn3rk1/pppb1ppp/8/8/2PP4/1NnBBP2/P1P3PP/R3K2R b KQ - 4 16,32,rqqADhpk,b7b6,-268,3,f7f5,0.0308,0.0417,0.0519,0.0569,f8e8,f8e8,f8e8,f8e8,47.0,0.0569,0.0261,False
rn3rk1/pppb2pp/8/5p2/n1PP4/1N1BBP2/P1PK2PP/4R2R b - - 3 18,36,rqqADhpk,f5f4,-354,4,b8c6,0.2157,0.238,0.2228,0.1688,a4b2,b8c6,b8c6,b8c6,-3.0,0.238,-0.0469,False
4rrk1/pppb2pp/2n5/5p2/n1PP1B2/1NPB1P2/P2K2PP/4R2R b - - 2 20,40,rqqADhpk,e8e1,-359,0,g7g5,0.3646,0.3289,0.2492,0.2282,a4b2,a4b2,a4b2,a4b2,6.0,0.3646,-0.1364,False
4rrk1/ppBb3p/2n5/3P2p1/n1P2p2/1NPB1P2/P2K2PP/4R2R b - - 0 22,44,rqqADhpk,c6e7,-434,10,c6e7,0.3338,0.4032,0.512,0.5819,e8e1,c6e7,c6e7,c6e7,0.0,0.5819,0.2481,False
