fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r4r2/p5bk/6p1/3Bp1B1/2n5/P5Pb/1PP1Pq1P/R1Q3RK b - - 4 26,52,?,f2c5,376,41,f2c5,0.0141,0.0166,0.0173,0.0178,f2e2,f2e2,f2e2,f2e2,96.0,0.0178,0.0037,False
1r3r2/pB4bk/6p1/2q1p1B1/1Pn5/P5Pb/2P1P2P/R1Q3RK b - - 0 28,56,?,c5d4,395,2,c5d4,0.1145,0.1096,0.1064,0.1089,c5f2,c5f2,c5f2,c5f2,47.0,0.1145,-0.0056,False
1r3r2/p5bk/6p1/3Bp1B1/1Pn3q1/P1P3Pb/4P2P/R1Q3RK b - - 2 30,60,?,f8f2,474,41,f8f2,0.1505,0.1628,0.1923,0.2562,g4e2,g4e2,g4e2,g4e2,163.0,0.2562,0.1057,False
1r6/p5bk/6p1/4p1B1/1Pn3q1/P1P3P1/4PrBP/R1Q4K b - - 0 32,64,?,b8f8,526,18,b8f8,0.1349,0.1642,0.1873,0.2135,g4e2,g4e2,g4e2,g4e2,-2.0,0.2135,0.0786,False
5r2/p5bk/6p1/8/1Pn1p1q1/P1P1B1P1/R3PrBP/2Q4K b - - 1 34,68,?,c4e3,545,59,c4e3,0.5204,0.4995,0.4249,0.3239,c4e3,c4e3,c4e3,f2e2,33.0,0.5204,-0.1965,False
r1bq1rk1/pp2bppp/2nppn2/2p5/P3P3/1BPP1N2/1P1N1PPP/R1BQK2R b KQ - 2 8,16,?,b7b6,17,18,a7a6,0.1029,0.115,0.1239,0.1448,a7a6,a7a6,a7a6,a7a6,29.0,0.1448,0.0419,False
1rbq1rk1/1p2bppp/p1nppn2/2p5/P3P3/1BPP1N2/1P1NQPPP/R1B2RK1 b - - 3 10,20,?,b7b5,-19,3,b7b5,0.6491,0.6798,0.7272,0.8414,b7b5,b7b5,b7b5,b7b5,0.0,0.8414,0.1923,False
1rbq1rk1/4bppp/2nppn2/1pp5/4P3/1BPP1N2/1P1NQPPP/R1B1R1K1 b - - 1 12,24,?,d8b6,13,3,c8d7,0.0233,0.0237,0.0252,0.0203,b5b4,c8b7,c8b7,c8b7,0.0,0.0252,-0.003,False
r2q1rk1/3bbppp/2nppn2/1pp3B1/4P3/1BPP1N2/1P2QPPP/R3RNK1 b - - 5 14,28,?,h7h6,6,1,h7h6,0.1136,0.1424,0.1513,0.1116,a8a1,d8c7,d8c7,d8c7,26.0,0.1513,-0.002,False
r2q1rk1/3bBpp1/2npp2p/1pp4n/4P3/1BPP1N2/1P2QPPP/R3RNK1 b - - 0 16,32,?,d8e7,-10,3,d8e7,0.8466,0.8191,0.7857,0.8032,d8e7,d8e7,d8e7,d8e7,0.0,0.8466,-0.0434,False
