fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
r2qkr2/1pp3Q1/3p2p1/p2Pp1n1/2P1b1P1/5P2/PP2B3/R3K1NR b KQ - 0 20,40,zPNUB90Q,d8e7,-306,44,e4c2,0.0209,0.0175,0.0154,0.0172,g5f3,g5f3,g5f3,g5f3,207.0,0.0209,-0.0037,True,club,03_disagreements_b2,2035,2084,2084,False,True
rn5Q/ppp1p1r1/5kp1/5p2/5P2/B1PP4/P1P1q1PP/4RRK1 b - - 10 20,40,FyrzPjqr,b8c6,-799,63,e2c2,0.002,0.0015,0.0015,0.0015,e2c2,e2c2,e2c2,e2c2,1199.0,0.002,-0.0005,True,club,03_disagreements_b2,1925,1924,1924,False,True
r2q1rk1/3b2p1/p2bp1Pp/1p1p1p1Q/3P3P/7B/PPPB1P2/1K2R2R b - - 1 20,40,xM3d1PVP,a8a7,0,25,a8c8,0.0023,0.0019,0.0015,0.0016,d8f6,d8f6,d8f6,d8f6,348.0,0.0023,-0.0007,True,club,03_disagreements_b2,2006,1949,1949,False,True
r1b1k2r/p5pp/1qp2n2/2b3N1/N2pp3/4B3/PPP2PPP/R2QR1K1 b kq - 1 14,28,5ru0JOpW,d4e3,-55,181,b6b4,0.0085,0.0063,0.0055,0.0044,b6b4,b6b5,b6b5,b6a5,313.0,0.0085,-0.0041,True,club,03_disagreements_b2,1831,1826,1826,False,True
2rqr1k1/pQ3ppp/5n2/3p1b2/P2Pn3/3BPN2/5PPP/R1B2RK1 b - - 0 16,32,oAirrjeJ,c8b8,0,18,c8c7,0.0382,0.0349,0.0291,0.0264,c8c7,c8c7,c8c7,c8c7,106.0,0.0382,-0.0118,True,club,03_disagreements_b2,1906,1856,1856,False,True
6k1/p4ppp/4rn2/3p4/P2B4/Q3PP2/2q3PP/5RK1 b - - 3 32,64,oAirrjeJ,f6e8,-45,48,a7a6,0.0102,0.0075,0.0071,0.0099,a7a6,a7a6,a7a6,a7a6,116.0,0.0102,-0.0003,True,club,03_disagreements_b2,1906,1856,1856,False,True
r4rk1/ppq2p2/4bp1p/3p4/2pP4/2P2BP1/PP1N4/R2QR2K b - - 0 18,36,JBZtTTzw,g8h7,-366,20,c7g3,0.0118,0.0134,0.0112,0.0048,c7g3,c7g3,c7g3,c7g3,151.0,0.0134,-0.007,True,club,03_disagreements_b2,1955,1984,1984,False,True
6r1/pp3pk1/4bp1p/3p4/2pP1QB1/2P5/PP1N4/7K b - - 4 26,52,JBZtTTzw,g8e8,-582,19,b7b5,0.0088,0.0086,0.0116,0.0193,e6g4,e6g4,g7f8,g7f8,208.0,0.0193,0.0105,True,club,03_disagreements_b2,1955,1984,1984,False,True
8/7Q/4pprp/3p1k2/1ppP3N/2P5/PP6/7K b - - 1 32,64,JBZtTTzw,f5f4,-789,6,f5f4,0.0239,0.0266,0.0306,0.0412,f5g5,f5g5,f5g5,f5g5,1198.0,0.0412,0.0173,True,club,03_disagreements_b2,1955,1984,1984,True,False
1nkr3r/Qpp1q3/p2p1p1p/4n3/8/P1B5/1PP1B1PP/2K1R3 b - - 3 22,44,xzKh9OLu,f6f5,392,21,f6f5,0.0151,0.0098,0.0077,0.0082,e5c6,e5c6,e5c6,e5c6,162.0,0.0151,-0.0069,True,club,03_disagreements_b2,1938,1863,1863,True,False
8/ppp3kp/4r1p1/4R1Q1/8/5P2/PP3P1P/6K1 b - - 1 26,52,s85GI732,g7f7,-821,1,e6f6,0.0183,0.0176,0.0195,0.023,e6e5,e6e5,e6e5,e6d6,1173.0,0.023,0.0047,True,club,03_disagreements_b2,1961,1973,1973,False,True
6k1/1q3p1p/1P1ppbp1/BQ1n4/3P4/5N1P/5PP1/6K1 b - - 4 32,64,AtyzwkhP,g8f8,0,0,g8f8,0.0172,0.0225,0.0329,0.0496,f6d8,f6d8,f6d8,f6d8,545.0,0.0496,0.0324,True,club,03_disagreements_b2,1841,2121,2121,True,False
3rr1k1/npp1qppn/p6p/3Pp3/1PP5/P4N1P/2B1QPP1/3RR1K1 b - - 0 22,44,I975x4Wa,e5e4,-268,14,h7g5,0.0296,0.0186,0.0123,0.0083,f7f6,f7f6,f7f6,f7f6,143.0,0.0296,-0.0213,True,club,03_disagreements_b2,2228,1828,1828,False,True
2k3rr/pp1bbp2/4p3/3pPnpp/1Ppq4/2Q3PP/P3BP1N/RNB2RK1 b - - 1 18,36,w5v0nO20,f5g3,276,106,d4b6,0.0295,0.0286,0.0285,0.0292,d4c3,d4b6,d4b6,d4b6,157.0,0.0295,-0.0003,True,club,03_disagreements_b2,2185,2171,2171,False,True
r2qr1k1/3bN1pn/p4p1p/1ppP4/8/2P4P/PPQ3P1/1B2RRK1 b - - 3 26,52,15Wkba1A,d8e7,-861,27,e8e7,0.0144,0.0085,0.0081,0.009,e8e7,e8e7,e8e7,e8e7,1128.0,0.0144,-0.0054,True,club,03_disagreements_b2,1982,1910,1910,False,True
r2qnrk1/pb1n1p2/1p1p3p/2p1pN2/2PPPP1p/2PB4/P2Q2PP/R4RK1 b - - 0 16,32,I4Ar14tc,c5d4,114,21,d8f6,0.0419,0.0231,0.0132,0.0081,g8h7,g8h7,g8h7,g8h7,183.0,0.0419,-0.0338,True,club,03_disagreements_b2,2313,2375,2375,False,True
