set,elo,fen,engine_best,rank
control,1100,r3r2k/bp1b1Bpp/p1p5/2P1n3/1P1NPR2/P6P/4N1P1/5RK1 b - - 3 28,e8e7,3.0
control,1100,rnbq1k1r/ppp1b2p/3p1nB1/6N1/4P3/1Q6/PB3PPP/RN2K2R b KQ - 0 10,d6d5,2.0
control,1100,3r1k2/ppq1b1B1/5p1p/2pn1N2/2p3nP/5N2/PP2QPP1/1K1RR3 b - - 1 22,f8g8,2.0
control,1100,4kbnr/2p3pp/p1N5/3rPp2/2N1pBb1/2P5/PP3PPP/R4RK1 b k - 0 14,d5c5,1.0
control,1100,8/pp1r1k2/8/3rp3/3Bp3/Q5P1/PP2P1KP/8 b - - 0 32,e5d4,2.0
control,1100,3qr1k1/Rp1b1pb1/1Pp1p1p1/2P1B2p/3P3P/6P1/1Q3PB1/6K1 b - - 2 34,g7e5,1.0
control,1100,r3kb1r/pp2pppp/8/q4b2/1n1PpB1N/1P2P3/P2NKPPP/R2Q3R b kq - 1 12,a5b5,2.0
control,1100,3r4/1p2b3/pn2p3/2p1Pppk/P1P5/1P1r1N1P/5PK1/1R2RN2 b - - 1 32,b6d7,2.0
control,1100,r3k2r/p4pbp/1p3Bp1/1q6/4P3/5Q2/PPP3PP/R3K2R b KQkq - 0 16,g7f6,1.0
control,1100,8/pppk4/4pp1p/8/1n1r4/2P4R/1K3PPP/4R3 b - - 0 24,b4d3,2.0
control,1100,2k5/1pp2p2/p2p2bK/3Pr3/2P1N3/1P6/PB6/4R3 b - - 7 32,e5e4,2.0
control,1100,3rr1k1/pp2ppbp/2nqbnp1/2p5/1PPp3N/P2P2PP/1B1NPPB1/1R1Q1RK1 b - - 0 14,b7b6,1.0
control,1100,r3r1k1/1pp2q2/pb1pN2p/3P4/3P3P/1Q3P2/P2n1P1K/6R1 b - - 1 24,g8h8,1.0
control,1100,6k1/3b1ppp/3p4/3Pn3/1r2P1PP/1pP2P2/4B3/1NKR4 b - - 0 28,b3b2,1.0
control,1100,r3k2r/pp1nbppp/1qp2nb1/3pNP2/3P4/1Q1BP2P/PP1N2P1/R1B1K2R b KQkq - 0 12,d7e5,2.0
control,1100,rnbqk1nr/p4p1p/2p1p1p1/1p1p4/3P2Q1/2N1PNP1/PPP2PP1/R3KB1R b KQkq - 1 8,e6e5,1.0
control,1100,r4Nk1/1p1b1qp1/p1n2n1p/2Pp4/4p3/P1PB4/1P1N1PPP/2RQR1K1 b - - 0 18,a8f8,1.0
control,1100,6k1/R2n1p2/4pn1p/3p2p1/3P4/5N2/5PPP/2r2NK1 b - - 2 24,g5g4,3.0
control,1100,r1b1kb1r/5p2/3p2np/1p2pNp1/p2PP3/2P1Bq2/BPQ2P2/R2R2K1 b kq - 1 22,g6h4,1.0
control,1100,2kr1b1r/p4ppp/Bp3n2/8/3pP3/P1N2P2/1P2KP1P/3R3R b - - 1 18,c8b8,1.0
machine_unique,1500,r4rk1/1p1bq1p1/p1n2n1p/2Ppp3/7N/P1PB4/1P1N1PPP/2RQR1K1 b - - 1 16,f6g4,4.0
machine_unique,1500,r1bq1rk1/ppp2p2/2n1p2R/3p4/1bPP2p1/2NBPNP1/PP3PP1/2RQK3 b - - 0 12,d5c4,
machine_unique,1500,r4rk1/5p2/5qp1/7p/1p2R2P/3Q1P2/1PP2bR1/1NK5 b - - 1 26,f8d8,3.0
machine_unique,1500,2k3rr/p1qn1p2/4p3/2p1P1Pp/2PpR3/P6Q/2PB2PP/1R5K b - - 0 24,h5h4,
machine_unique,1500,2kr3r/1pp2ppp/2n1p3/8/1b2N3/1BPPP1PP/1P6/2KR3R b - - 0 20,b4f8,
machine_unique,1500,1k1r3r/1pp1bppp/2n1p3/8/3PN3/1BP1P1PP/RPK5/7R b - - 4 24,b7b5,
machine_unique,1500,3r3r/1kp3pp/1pn1p3/5pb1/1P1P4/2P1PBPP/R1KN4/R7 b - - 2 30,d8d5,
machine_unique,1500,r2q1rk1/p4p1p/6pQ/1ppnPb2/3p1P2/1P1P2PP/P1P5/R1B2RK1 b - - 0 20,f8e8,
