fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
r5k1/3q1ppp/2pb1n2/p2P4/P1P5/N5Pb/1P3P1P/R1B1QRK1 b - - 0 16,32,m2bgZklz,d7f5,273,64,d6a3,0.0084,0.0065,0.0061,0.009,h3f1,h3f1,h3f1,h3f1,341.0,0.009,0.0006,True,club,5,queen,False,False,True,False,middlegame,False
rn3rk1/2qb2pp/pp2N3/2P3N1/8/4QP2/P4K1P/2R4R b - - 2 22,44,qRIl7qu2,f8f3,-534,37,d7e6,0.0128,0.0126,0.0105,0.0085,d7e6,d7e6,d7e6,d7e6,108.0,0.0128,-0.0043,True,club,6,rook,True,True,False,False,middlegame,False
5rk1/pp2b1pp/8/4p3/4N3/PP1Pp1PP/1P6/4R1K1 b - - 2 24,48,uILNQowt,e7d8,0,5,f8c8,0.008,0.0071,0.0054,0.0045,f8f3,f8f3,f8f3,f8f3,110.0,0.008,-0.0035,True,club,4,bishop,False,False,True,False,endgame,False
4b3/5p1N/2k5/1pP4P/1K3p2/P7/5PP1/8 b - - 0 34,68,4VkMOjQc,c6c7,-766,25,f7f5,0.0254,0.0223,0.0199,0.0228,c6d5,c6d5,c6d5,c6d5,169.0,0.0254,-0.0026,True,club,3,king,False,False,True,False,endgame,False
r1b2rk1/2b2ppp/p3pn2/1P1pn3/1P6/2N3QP/2P1N1P1/R3KB1R b KQ - 0 18,36,NBLusDr8,c7d6,-290,15,a8a7,0.0236,0.0251,0.0221,0.0244,e5d3,e5d3,e5d3,e5d3,213.0,0.0251,0.0008,True,club,2,bishop,False,False,True,False,middlegame,False
1r1q1r1k/p1pbb1pn/Q1np3p/8/3PB3/5N1P/PP3PP1/RNB1R1K1 b - - 2 16,32,96k4QOHe,d6d5,76,213,b8b6,0.0136,0.0069,0.0042,0.0039,b8b6,b8b6,b8b6,c6b4,217.0,0.0136,-0.0097,True,club,1,pawn,False,False,True,True,middlegame,False
4r2k/1ppb2qp/p6p/3P4/4B3/3Q2RP/PP4P1/6K1 b - - 5 28,56,2mnGPS7t,g7f6,-114,130,g7e7,0.0272,0.026,0.0211,0.0178,g7e7,g7e7,g7e7,g7e7,132.0,0.0272,-0.0094,True,club,4,queen,False,False,True,False,endgame,False
3k3r/3brp2/1q3b1p/1p1Q1Pp1/3P2P1/PR5P/6K1/1B1N1R2 b - - 0 28,56,mZpxsPpE,b6c6,215,141,d8c7,0.0494,0.0466,0.0408,0.04,f6d4,f6d4,f6d4,f6d4,343.0,0.0494,-0.0094,True,club,0,queen,False,False,True,False,middlegame,False
rnb1k2r/pp2nppp/2p2b2/q2P4/2BN1B2/2N5/PPP2PPP/R2Q1RK1 b kq - 0 10,20,oFogTQoA,a5c5,-172,8,c6d5,0.0168,0.0129,0.0094,0.0081,c6d5,c6d5,c6d5,c6d5,102.0,0.0168,-0.0087,True,club,1,queen,False,False,True,False,opening,False
q3kb1r/3bnpp1/3p1n1p/4p3/2B1P3/5N2/1P1N1PPP/2BQ1RK1 b k - 0 16,32,pLlA59fC,a8b8,-11,1,f6e4,0.0014,0.001,0.0007,0.0005,f6e4,f6e4,f6e4,f6e4,305.0,0.0014,-0.0009,True,club,1,queen,False,False,True,False,middlegame,False
4kb1r/3bnpp1/3p3p/4p3/2B1q3/1Q3N2/1P3PPP/2B2RK1 b k - 1 18,36,pLlA59fC,e4f5,-199,61,d6d5,0.0158,0.0175,0.0163,0.0127,d6d5,d6d5,d6d5,d6d5,300.0,0.0175,-0.0031,True,club,6,queen,False,False,True,False,middlegame,False
1Qn1kb1r/3b1pp1/7p/1B1pp3/4q3/5N2/1P3PPP/2B2RK1 b k - 3 20,40,pLlA59fC,e8d8,-519,1,e4f5,0.0129,0.0093,0.0075,0.0069,f8d6,f8d6,f8d6,f8d6,1477.0,0.0129,-0.006,True,club,6,king,False,False,True,False,middlegame,False
3b1k1r/2q2pp1/b1pNp3/2PnP3/8/B5P1/1P3PB1/3QR1K1 b - - 4 26,52,ddkf3KbK,g7g5,-298,36,c7e7,0.02,0.0174,0.0165,0.0171,c7a5,d8e7,d8g5,d8g5,184.0,0.02,-0.0029,True,club,6,pawn,False,False,True,True,middlegame,False
5k1r/1Qb1qp2/2PNp1p1/3nP3/8/B2b2P1/1P3PB1/4R1K1 b - - 0 30,60,ddkf3KbK,f8g8,-517,43,f8g8,0.0243,0.0255,0.0233,0.0245,f8g7,f8g7,f8g7,f8g7,124.0,0.0255,0.0002,True,club,3,king,False,False,True,False,middlegame,True
r2r2k1/RpQ3pp/5p2/3P1n2/2P5/7P/2bB2P1/6K1 b - - 0 28,56,2LfMlX64,h7h5,-365,8,a8c8,0.0019,0.0015,0.0016,0.0026,a8a7,a8a7,a8a7,a8a7,422.0,0.0026,0.0007,True,club,6,pawn,False,False,True,True,middlegame,False
6k1/1p3pp1/pQ1N2np/3P4/8/3K2Bq/PP1R1Pn1/2r5 b - - 1 32,64,kiKZ7Ith,g6e5,863,218,g6e5,0.0193,0.015,0.0144,0.0154,g2e1,g2f4,g2f4,g2f4,471.0,0.0193,-0.0039,True,club,7,knight,False,True,False,False,middlegame,True
4k1r1/pp2np1Q/4pp2/7p/3P3P/2r3P1/Pq3PB1/RR2K3 b - - 5 22,44,FJIKm6JU,c3e3,468,454,b2a3,0.0209,0.0216,0.0244,0.0281,b2a3,b2a3,b2a3,b2a3,461.0,0.0281,0.0072,True,club,5,rook,False,True,False,False,middlegame,False
3q1rk1/1ppbbppp/3p1n2/r7/p2PP1P1/P1N2Q1P/1BP2PB1/R4RK1 b - - 0 16,32,6ddnhthl,h7h5,72,113,d8c8,0.0099,0.0108,0.0142,0.038,d7c6,d7c6,d7c6,d7c6,188.0,0.038,0.0281,True,club,1,pawn,False,False,True,True,middlegame,False
4rr1k/2q4p/p2b2pN/1pp1np2/3P1B2/3P2QP/PP3RP1/2R3K1 b - - 0 30,60,S8IRhbd6,e5c4,-298,25,e5f7,0.0102,0.0101,0.0113,0.0146,e5d3,e5d3,e5d3,e5d3,191.0,0.0146,0.0044,True,club,6,knight,False,False,True,False,middlegame,False
3r1rk1/1b3pb1/ppB2n1p/2p1N1p1/2N5/2P3P1/PP4PP/R3R1K1 b - - 1 18,36,MYYX6V2f,d8b8,-33,120,b7c6,0.0272,0.0313,0.0335,0.0234,b7c6,b7c6,b7c6,b7c6,198.0,0.0335,-0.0038,True,club,4,rook,False,False,True,False,middlegame,False
3r4/8/R4nk1/2p4p/2N3pN/2b3PP/P3r1P1/5RK1 b - - 1 34,68,MYYX6V2f,g6h7,-34,35,g6f7,0.0049,0.0063,0.0076,0.009,g6g5,g6g5,g6g5,g6g5,157.0,0.009,0.0041,True,club,4,king,False,False,True,False,middlegame,False
2r1r1k1/p4pp1/1q3b1p/3p1P2/3pn1N1/3Q4/PP4PP/R1B2R1K b - - 2 24,48,KbcAaLyv,f6e5,315,13,h6h5,0.0437,0.0401,0.0342,0.0265,f6g5,f6g5,f6g5,f6g5,120.0,0.0437,-0.0172,True,club,7,bishop,False,False,True,False,middlegame,False
6k1/p4pp1/1q6/3p1P1p/3p2nB/1P5Q/P1r1r1PP/R5RK b - - 4 30,60,KbcAaLyv,c2c3,672,4,g4e3,0.0319,0.0272,0.0223,0.02,d4d3,d4d3,d4d3,d4d3,274.0,0.0319,-0.0119,True,club,7,rook,False,False,True,False,middlegame,False
6k1/p1q2pp1/5P2/3p3p/3p4/1P2n1BQ/P1r1r1PP/R5RK b - - 2 32,64,KbcAaLyv,c7c8,314,76,c7c6,0.0208,0.024,0.025,0.0258,c7c3,c7c3,c7c3,c7c3,101.0,0.0258,0.005,True,club,5,queen,False,False,True,False,middlegame,False
5rk1/5ppp/3Q4/8/1P1PpPb1/2N1P1P1/1B1q2P1/R5K1 b - - 2 30,60,KwwzPjCa,g4f3,561,304,d2b2,0.002,0.0009,0.0004,0.0002,d2b2,d2b2,d2b2,d2b2,268.0,0.002,-0.0018,True,club,2,bishop,False,False,True,False,middlegame,False
6k1/Q4p1p/3Np1p1/3n4/3P4/7P/5PPK/1rr5 b - - 1 28,56,aIr3ukrN,d5c7,-61,460,c1c7,0.0086,0.0085,0.0068,0.0054,c1h1,c1h1,c1c7,c1c7,592.0,0.0086,-0.0032,True,club,4,knight,False,False,True,False,endgame,False
r1b2rk1/p1p2ppp/1nppq3/4P3/2P5/1P1B1N2/P2Q1PPP/R3K2R b KQ - 1 14,28,98ulg688,e6e7,-16,1,h7h6,0.0021,0.0015,0.0011,0.001,d6e5,d6e5,d6e5,d6e5,149.0,0.0021,-0.0011,True,club,1,queen,False,False,True,False,middlegame,False
2kr4/pp1r1p2/1q1b4/2p2Q1p/7P/1PP3P1/P3PP2/RN2K2R b KQ - 0 18,36,2d8BEu6p,b6c7,-124,25,b6c6,0.0409,0.0366,0.03,0.0271,c5c4,c5c4,b6c6,c5c4,205.0,0.0409,-0.0138,True,club,4,queen,False,False,True,False,middlegame,False
7r/pp1r1p2/2k5/2p5/6QP/1PN1P3/P4P2/R4RK1 b - - 0 26,52,2d8BEu6p,h8h6,-741,40,d7d8,0.0269,0.0312,0.0389,0.0435,f7f5,f7f5,f7f5,f7f5,256.0,0.0435,0.0166,True,club,3,rook,False,False,True,False,endgame,False
rn1q1rk1/1p1bnppp/Pb2p3/3pP3/P4B2/2PB1N2/5PPP/RN1QK2R b KQ - 0 12,24,C7RCmAI9,e7g6,-65,4,b8a6,0.0005,0.0009,0.0015,0.0014,b8a6,b8a6,b8a6,b8a6,123.0,0.0015,0.0009,True,club,1,knight,False,False,True,False,middlegame,False
1r2kb1r/p1p1pppp/1q6/8/5B2/2P2Q1P/PP3PP1/RN3RK1 b k - 0 14,28,MyxzEAko,e7e5,-516,11,b6b2,0.0286,0.0175,0.0137,0.0167,b6b2,b6b2,b6b2,b6b2,1481.0,0.0286,-0.0119,True,club,3,pawn,False,False,True,True,middlegame,False
2rr1bk1/6pp/2np4/1p1Npp2/8/1P2P3/PB1RKPPP/2R5 b - - 3 22,44,PE1YjHbJ,c6b8,-107,53,c6e7,0.004,0.0038,0.0045,0.0064,c6e7,c6e7,c6e7,g8f7,314.0,0.0064,0.0024,True,club,4,knight,False,False,True,False,middlegame,False
3r2k1/4qp2/pp5Q/3pn1p1/P1p5/2P1PrP1/1P1RNPK1/R7 b - - 0 30,60,VT6M1PEO,f3f2,596,131,f3f2,0.0025,0.0025,0.0026,0.0032,d8d6,e7f6,e7f6,e7f6,620.0,0.0032,0.0007,True,club,5,rook,True,True,False,False,middlegame,True
2r2r2/1pqn1k2/p3p3/3p1PQ1/3Pb3/PBP4P/1P4P1/4RRK1 b - - 0 22,44,ksbz2UkN,c7d6,-541,8,f8g8,0.0034,0.0027,0.0029,0.0042,f7e8,f7e8,f8g8,f8g8,1446.0,0.0042,0.0008,True,club,6,queen,False,False,True,False,middlegame,False
rn1q1rk1/p1p3pp/1p1p4/3b1p2/3Nn3/2P1P1P1/PQ3PBP/R1B2RK1 b - - 3 14,28,jnuTUcZ1,d8e8,156,4,d8e8,0.0099,0.0068,0.0049,0.0062,c7c5,c7c5,c7c5,c7c5,107.0,0.0099,-0.0037,True,club,0,queen,False,False,True,False,middlegame,True
rnbqr1k1/p1p2pp1/1p1b1n1p/3PN3/2PP1p2/2N5/PP2B1PP/R1BQ1RK1 b - - 1 10,20,3FQi7QTZ,g7g5,-81,117,d6e5,0.0468,0.0279,0.0213,0.0195,d6e5,d6e5,d6e5,d6e5,208.0,0.0468,-0.0273,True,club,1,pawn,False,False,True,True,opening,False
8/6p1/p1n1p1kp/1pBp1p2/1P1P3P/PR2PKP1/r4P2/8 b - - 4 34,68,YWzTSfDP,c6b8,34,12,g6h5,0.012,0.0135,0.0149,0.0186,h6h5,h6h5,h6h5,h6h5,122.0,0.0186,0.0066,True,club,4,knight,False,False,True,False,endgame,False
r1bqk2r/ppp3pp/1n1ppn2/6B1/3P1N2/3Q4/PPP1PPB1/2KR3R b kq - 4 12,24,JAhZNZdU,d8d7,-321,45,c7c6,0.03,0.0255,0.0229,0.0174,h7h6,c8d7,c8d7,c8d7,132.0,0.03,-0.0126,True,club,6,queen,False,False,True,False,middlegame,False
8/ppkb2Q1/2ppp3/8/1qn5/8/PPP2PB1/2K4R b - - 3 26,52,JAhZNZdU,e6e5,334,300,a7a5,0.0373,0.0303,0.031,0.032,b4d2,b4d2,b4d2,b4d2,295.0,0.0373,-0.0053,True,club,5,pawn,False,False,True,True,endgame,False
r4k2/ppp2p2/2n3p1/2R5/6N1/2B2P2/PP3KPP/3r4 b - - 12 26,52,l6JkO8RR,f7f5,227,8,a8d8,0.0491,0.0389,0.0379,0.0415,d1c1,d1c1,d1c1,d1c1,224.0,0.0491,-0.0076,True,club,4,pawn,False,False,True,True,endgame,False
2r3k1/pp1bbpp1/1q2p2p/3pPn2/2rP1B2/P1NQ1N1P/1P3PP1/1R1R2K1 b - - 4 18,36,IyUSUvwP,e7a3,85,5,a7a5,0.0422,0.0391,0.04,0.0455,d7b5,d7b5,b6b3,b6b3,271.0,0.0455,0.0033,True,club,0,bishop,True,False,False,False,middlegame,False
rn5Q/p3kp2/1p1rb1qB/2p5/2B5/8/PPP3PP/4R2K b - - 7 30,60,bKmPWZev,b8d7,447,27,d6d8,0.0144,0.0153,0.0183,0.02,g6c2,g6c2,g6c2,g6c2,894.0,0.02,0.0056,True,club,6,knight,False,False,True,False,middlegame,False
1nq2rk1/QR4pp/2p1p1b1/8/2N1pp2/2P1P3/P4PPP/R5K1 b - - 0 20,40,zPCxZkut,g8h8,-545,9,f4e3,0.0052,0.004,0.0031,0.003,f4e3,f4e3,f8f7,f8f7,111.0,0.0052,-0.0022,True,club,3,king,False,False,True,False,middlegame,False
2r3k1/p4p1p/1p2p1pQ/8/P2P4/7P/1q3PP1/3R2K1 b - - 0 30,60,EgHAeJLD,b2a3,385,6,b2b4,0.027,0.0284,0.0243,0.0181,b2c2,b2c2,b2c2,b2e2,146.0,0.0284,-0.0089,True,club,7,queen,False,False,True,False,endgame,False
3r2k1/7p/1pP3p1/2p2p2/4p3/PP5P/2R2KP1/3R4 b - - 0 32,64,GEBRqzeZ,d8c8,-514,15,d8d1,0.0197,0.0084,0.0035,0.0018,d8d1,d8d1,d8d1,d8d1,153.0,0.0197,-0.0179,True,club,4,rook,False,False,True,False,endgame,False
r1k4r/1p3Rpp/pq4n1/3pP3/P2P4/6RP/1P1B2P1/4Q1K1 b - - 0 22,44,hAdZLTQ6,c8b8,-506,10,b6d4,0.0213,0.0298,0.029,0.0243,b6d4,b6d4,b6d4,b6d4,135.0,0.0298,0.003,True,club,3,king,False,False,True,False,middlegame,False
6k1/5ppp/p1q2b2/1p6/2r1p3/PNP4P/1P4P1/3Q1R1K b - - 1 28,56,dUHFQzzR,c6e8,229,2,e4e3,0.0075,0.0094,0.0095,0.01,e4e3,e4e3,h7h6,h7h6,301.0,0.01,0.0025,True,club,5,queen,False,False,True,False,endgame,False
r6k/1Q4pp/p2p4/2b5/7q/3p1P1P/PP3P2/R4RK1 b - - 0 22,44,7TZSIWlZ,h4g3,308,233,a8f8,0.0299,0.0282,0.0215,0.0191,a8f8,a8f8,a8f8,a8f8,239.0,0.0299,-0.0108,True,club,5,queen,False,True,False,False,endgame,False
7k/6p1/p2p3p/2b2r2/8/3p1PQ1/4qPK1/3RR3 b - - 7 32,64,7TZSIWlZ,e2a2,134,10,e2c2,0.0399,0.0293,0.0215,0.0216,f5g5,f5g5,f5g5,f5g5,133.0,0.0399,-0.0183,True,club,5,queen,False,False,True,False,endgame,False
r4rk1/pp1q1ppp/1n3b2/3B4/8/2N2Q1P/PP3PP1/2RR2K1 b - - 0 18,36,YOyuPCPa,d7e7,-143,24,b6d5,0.0091,0.0085,0.0126,0.0198,b6d5,b6d5,b6d5,b6d5,261.0,0.0198,0.0107,True,club,4,queen,False,False,True,False,middlegame,False
1k4r1/ppp5/3p4/1P2nBr1/P4KP1/8/6P1/2R5 b - - 0 34,68,EJppShLe,g5g4,565,43,g5g4,0.0362,0.0393,0.0427,0.0472,e5g4,e5g4,e5g4,e5g4,111.0,0.0472,0.011,True,club,7,rook,True,True,False,False,endgame,True
r1b2q1k/bp2n1p1/p4p1p/3p3P/PP1P1B1N/8/2Q2PP1/R3R1K1 b - - 3 28,56,0j3Fv3Cv,c8f5,-557,2,c8g4,0.0138,0.0067,0.0029,0.0014,a7d4,a7d4,a7d4,a7d4,184.0,0.0138,-0.0124,True,club,3,bishop,False,False,True,False,middlegame,False
r1bqr1k1/ppp2ppp/2n5/3p4/3Pn3/1B1Q1N2/PB3PPP/R3R1K1 b - - 3 14,28,GxSKeh0D,c6a5,254,24,c8f5,0.0043,0.006,0.0105,0.0184,c8f5,c8f5,c8f5,c8f5,101.0,0.0184,0.0141,True,club,0,knight,False,False,True,False,middlegame,False
1r1qr1k1/ppp2ppp/2n5/1Q1B1b2/3Pn3/5N2/PB3PPP/R3R1K1 b - - 0 16,32,GxSKeh0D,f5g6,61,8,e4d6,0.0031,0.0041,0.005,0.0052,a7a6,a7a6,a7a6,a7a6,417.0,0.0052,0.0021,True,club,0,bishop,False,False,True,False,middlegame,False
4r1k1/p4ppp/1q6/3R4/3Q4/5P2/PP2bKPP/2r2B1R b - - 3 22,44,uam9VKbo,b6b8,169,38,c1c2,0.0015,0.0015,0.0015,0.0017,b6d4,b6d4,b6d4,b6d4,169.0,0.0017,0.0002,True,club,5,queen,False,False,True,False,middlegame,False
r2q1rk1/pp2bpp1/2np1n1p/4p3/1PB1P1b1/P1N1QN2/5PPP/R1BR2K1 b - - 2 12,24,zaCd3KRk,a8c8,146,5,a8c8,0.0274,0.0207,0.0225,0.0332,c6d4,a7a6,a7a6,g4f3,154.0,0.0332,0.0058,True,club,0,rook,False,False,True,False,middlegame,True
r1b1kn1r/ppq1bpp1/2p2n1p/4p3/4P3/1BN1BN1P/PPP1QPP1/R2R2K1 b kq - 6 12,24,73nBAVJH,f8e6,-45,33,f8g6,0.0069,0.0059,0.0074,0.0078,g7g5,g7g5,g7g5,g7g5,198.0,0.0078,0.0009,True,club,1,knight,False,False,True,False,middlegame,False
r5k1/p4pp1/1p1Bqbnp/4p3/2r1P3/Q6P/1PPR1PP1/3RN1K1 b - - 4 28,56,73nBAVJH,f6g5,129,56,c4e4,0.0237,0.0198,0.0158,0.0133,c4e4,c4e4,c4e4,c4e4,306.0,0.0237,-0.0104,True,club,0,bishop,False,False,True,False,middlegame,False
5k1r/QBp5/5pp1/1b6/3PP3/P1K2N1n/1P3qP1/R3R3 b - - 5 32,64,L07w87Bo,c7c6,-518,43,f2g2,0.0035,0.0029,0.0026,0.0029,h3f4,h3f4,h3f4,h3f4,185.0,0.0035,-0.0006,True,club,3,pawn,False,False,True,True,middlegame,False
1k5r/p1r5/q1PN1p2/1p1pp1p1/bQ3P1p/2P1P2P/1K4PB/R7 b - - 1 34,68,DbYc1h1I,g5f4,350,90,a6c6,0.042,0.0283,0.0234,0.023,a6c6,a6c6,a6c6,a6c6,167.0,0.042,-0.019,True,club,0,pawn,True,False,False,True,middlegame,False
r1b2rk1/2q1bppp/p1nppn2/1p6/3PP3/P1NBBN1P/1P3PP1/2RQ1RK1 b - - 1 12,24,hly3EFB7,b5b4,-133,8,c8b7,0.0204,0.0099,0.005,0.0023,c8b7,c8b7,c8b7,c8b7,118.0,0.0204,-0.0181,True,club,1,pawn,False,False,True,True,middlegame,False
2rbr1k1/1b1q1ppp/p1np1n2/1p1NP3/1P2PPP1/P2QB2P/7N/1BR2RK1 b - - 0 20,40,hly3EFB7,c6e5,-306,43,d6e5,0.0173,0.016,0.0126,0.0097,d6e5,d6e5,d6e5,d6e5,358.0,0.0173,-0.0076,True,club,6,knight,True,False,False,False,middlegame,False
1rb1nrk1/p4pp1/1p1q3p/2pPp2B/P1P1P3/2P3BP/1RQ2PP1/6RK b - - 2 24,48,Uo4SifHY,a7a5,-178,5,e8f6,0.0272,0.0193,0.0162,0.0125,e8f6,e8f6,e8f6,f7f5,133.0,0.0272,-0.0147,True,club,1,pawn,False,False,True,True,middlegame,False
5rk1/3b2p1/1R1n2qp/p1pPp3/2P1Pp2/2PQ1B1P/5PPB/7K b - - 0 34,68,Uo4SifHY,d6e4,267,254,f8a8,0.0025,0.0019,0.0013,0.0007,a5a4,a5a4,a5a4,a5a4,278.0,0.0025,-0.0018,True,club,0,knight,True,False,False,False,middlegame,False
2r5/pp2k1N1/2n1b2p/3pPp2/3P1P2/P3KNP1/1P6/2R5 b - - 1 28,56,LXAvbt8Y,c6e5,-149,160,e6d7,0.0074,0.0044,0.0033,0.0028,c8g8,c8g8,c8g8,c8g8,161.0,0.0074,-0.0046,True,club,6,knight,True,False,False,False,endgame,False
r5k1/pp1r2p1/7p/3bPp2/3P4/BP1RN2P/P5P1/6K1 b - - 8 28,56,hOXRdMar,g8f7,173,65,d5e4,0.0035,0.0025,0.0018,0.002,d5e4,d5e4,d5e4,d5e4,104.0,0.0035,-0.0015,True,club,4,king,False,False,True,False,endgame,False
2k1r2r/1Rp2pp1/p5b1/2bp4/7p/2NP1PqP/2PB2P1/1R3Q1K b - - 0 28,56,Wawnp3vR,g3f2,-123,41,c5b6,0.01,0.0119,0.0134,0.0145,c8d7,c8d7,c5b6,c5b6,194.0,0.0145,0.0045,True,club,0,queen,False,False,True,False,middlegame,False
5r2/1pkr2q1/2nb1p2/1QpBp3/2P4p/P1BP4/5RPP/5RK1 b - - 1 30,60,KWbLArvl,c7d8,-299,74,c6d4,0.0248,0.0297,0.034,0.0381,h4h3,h4h3,h4h3,h4h3,244.0,0.0381,0.0133,True,club,6,king,False,False,True,False,middlegame,False
r4rk1/1Qp2ppp/p7/4P3/8/7P/qPP3P1/2KR1R2 b - - 0 20,40,Q0uDy45N,a8d8,552,129,a2a1,0.02,0.0124,0.0077,0.0076,a2a1,a2a1,a8b8,a8b8,103.0,0.02,-0.0124,True,club,5,rook,False,False,True,False,endgame,False
3r2k1/pp4pp/3p2r1/5b2/3p4/N2P3P/PP3PP1/3RRK2 b - - 9 22,44,EBKZKQ1B,g6g5,-118,26,f5d7,0.021,0.016,0.0094,0.0063,d6d5,a7a6,a7a6,a7a6,101.0,0.021,-0.0147,True,club,4,rook,False,False,True,False,endgame,False
5rk1/4bppp/q3p2B/p2pPP1P/b2N1QP1/Pp1P4/1Pr5/1K1R3R b - - 4 24,48,udaIpNyp,a6c8,-160,47,g7h6,0.0037,0.003,0.0024,0.0022,e7a3,e7a3,e7a3,e7a3,270.0,0.0037,-0.0015,True,club,6,queen,False,False,True,False,middlegame,False
r2q2k1/pbpn2r1/1p1p4/7Q/2PP2B1/2P1P3/5PPP/1RB2RK1 b - - 0 20,40,9rkhf8Yq,d8e7,-288,86,d7f6,0.004,0.0039,0.0035,0.0035,d7f6,d7f6,d7f6,d7f6,160.0,0.004,-0.0005,True,club,6,queen,False,False,True,False,middlegame,False
r4kBQ/pbp3r1/1p1p1q2/8/2PP4/2P1P1P1/5P1P/1RB2RK1 b - - 0 24,48,9rkhf8Yq,f8e7,-316,139,f8e7,0.0167,0.0158,0.0144,0.0133,g7g8,g7g8,g7g8,g7g8,810.0,0.0167,-0.0034,True,club,6,king,False,False,True,False,middlegame,True
r6r/pbp1k3/1p1pP3/8/2P5/2P1P1P1/5P1P/1RB2RK1 b - - 0 28,56,9rkhf8Yq,h8h2,-3,24,e7e6,0.0018,0.0028,0.0073,0.0213,e7e6,e7e6,e7e6,e7e6,186.0,0.0213,0.0195,True,club,4,rook,True,False,False,False,endgame,False
7r/2p5/1p1pk3/p7/2r1P2P/2P2bP1/1B3P1K/R3R3 b - - 0 34,68,9rkhf8Yq,h8f8,35,22,h8h5,0.0155,0.0172,0.0236,0.0382,c4e4,c4e4,c4e4,c4e4,136.0,0.0382,0.0227,True,club,4,rook,False,False,True,False,endgame,False
r4r2/1pp3pk/3p1p1p/1Pn2P2/2B1PK2/2PP4/8/R4R2 b - - 1 30,60,9qXAghd3,a8a4,-32,4,c5d7,0.0155,0.0208,0.025,0.0272,a8a1,a8a1,b7b6,b7b6,116.0,0.0272,0.0117,True,club,4,rook,False,False,True,False,endgame,False
4rrk1/bppb1ppp/p1n5/4P3/1q1P4/1N1BB3/P4QPP/4RRK1 b - - 1 20,40,c1LfGk0G,f7f5,35,10,d7e6,0.0097,0.0103,0.0111,0.0136,d7e6,d7e6,d7e6,d7e6,115.0,0.0136,0.0039,True,club,0,pawn,False,False,True,True,middlegame,False
N1b3nr/pp1pkppp/4p3/8/Pn3B2/3pPK2/q1P2PPP/3Q1BNR b - - 1 12,24,rmZUXXo2,d7d6,244,8,d3c2,0.0041,0.0039,0.0043,0.007,d3c2,d3c2,d3c2,d3c2,2235.0,0.007,0.0029,True,club,2,pawn,False,False,True,True,middlegame,False
r4rk1/pp2qpp1/1np1p1b1/4B2B/7P/3P2Q1/PPP3P1/R4R1K b - - 0 20,40,YaYqEzP1,a8d8,-293,7,b6d7,0.0361,0.0259,0.0199,0.0167,g6h5,g6h5,b6d7,b6d7,148.0,0.0361,-0.0194,True,club,6,rook,False,False,True,False,middlegame,False
2r1k3/3n1p2/2p1p3/1qPpP3/1p1P4/pP6/P1KN2Q1/3R4 b - - 2 32,64,NCPppfa5,d7e5,69,175,d7e5,0.0189,0.0151,0.0129,0.0108,e8e7,e8e7,e8e7,e8e7,444.0,0.0189,-0.0081,True,club,4,knight,True,False,False,False,endgame,True
r1bqk2r/pp1p2pp/2n2p2/2b1pn2/8/2N1PNB1/PPP2PPP/R2QKB1R b KQkq - 2 8,16,bOMDZnK2,c5b4,43,9,f5g3,0.0196,0.0172,0.0181,0.031,f5g3,f5g3,f5g3,f5g3,104.0,0.031,0.0114,True,club,1,bishop,False,False,True,False,opening,False
2rr4/p4pkp/5np1/8/3N1R2/6P1/PP3P1P/R5K1 b - - 2 24,48,9WcOnERm,d8d7,-30,3,d8d5,0.0131,0.0102,0.0095,0.0103,c8c4,c8c4,c8c4,c8c4,456.0,0.0131,-0.0028,True,club,4,rook,False,False,True,False,endgame,False
8/p4pk1/5np1/7p/R7/1N1r2PP/PPr2P2/1R4K1 b - - 2 28,56,9WcOnERm,f6d7,-26,8,a7a5,0.0204,0.0139,0.0101,0.0107,d3f3,d3f3,d3f3,d3f3,341.0,0.0204,-0.0097,True,club,4,knight,False,False,True,False,endgame,False
2R3k1/pq3np1/1p2Np1p/1P1p4/3P4/2Q1PP2/P5PP/6K1 b - - 0 34,68,M5sJG9UE,f7d8,-944,1048,g8h7,0.0185,0.008,0.0052,0.0051,g8h7,g8h7,g8h7,g8h7,1048.0,0.0185,-0.0134,True,club,3,knight,False,False,True,False,endgame,False
r6k/ppp1r2p/3p1p2/2b1pP1Q/2Bn3P/3P4/PPPK1P1N/6R1 b - - 7 22,44,bsQlKSk2,d6d5,-508,76,c7c6,0.0318,0.0304,0.031,0.0339,e7g7,e7g7,c7c6,c7c6,293.0,0.0339,0.0021,True,club,3,pawn,False,False,True,True,middlegame,False
6rk/p5rp/4Pp1N/1pp2P1Q/3bK2P/8/PP2R3/8 b - - 7 34,68,bsQlKSk2,a7a6,-851,83,g8e8,0.0022,0.0011,0.0007,0.0004,g8f8,g8f8,g8d8,g8d8,1141.0,0.0022,-0.0018,True,club,3,pawn,False,False,True,True,endgame,False
