fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
5rk1/p2b3n/Qpp5/3P3p/3P2p1/1P2q3/PB4BP/5R1K b - - 3 30,60,WpYCPp3x,b6b5,161,136,c6c5,0.0003,0.0001,0.0001,0.0001,f8f1,f8f1,f8f1,f8f1,171.0,0.0003,-0.0002,True,club,5,pawn,False,False,True,True,middlegame,False
r1bq1rk1/ppp2ppp/1b1p1n2/1P6/3nP3/P1NP1N2/2PB1PPP/R2QKB1R b KQ - 1 10,20,G5n9xii3,f6g4,211,151,c8g4,0.0445,0.0295,0.0191,0.0144,c8g4,c8g4,c8g4,c8g4,206.0,0.0445,-0.0301,True,club,1,knight,False,False,True,False,opening,False
r1bq1rk1/1p2b1pp/p2p1n2/P2P4/2N1P3/3Q2P1/1PP1BB2/R3K2R b KQ - 2 20,40,Bb13fVqm,d8e8,-232,51,f6g4,0.0259,0.028,0.0288,0.0313,c8g4,c8g4,c8g4,c8g4,132.0,0.0313,0.0054,True,club,6,queen,False,False,True,False,middlegame,False
2r1k2r/Q3bp2/4p1p1/1q1pPnNp/N1p2P2/BP5P/P5P1/2R4K b k - 0 22,44,1vzGbjEq,b5b8,367,9,e7a3,0.0152,0.0169,0.0182,0.0221,e7a3,e7a3,e7a3,e7a3,2365.0,0.0221,0.0069,True,club,0,queen,False,False,True,False,middlegame,False
1r5k/p6p/2p2nq1/2Pp2N1/3P1Q2/1P4PP/P7/5RK1 b - - 2 30,60,gIwIUqIo,f6d7,-433,65,b8f8,0.0269,0.0224,0.0221,0.0237,b8f8,b8f8,b8f8,b8f8,133.0,0.0269,-0.0032,True,club,6,knight,False,False,True,False,endgame,False
2r2r2/pp3pk1/4p1p1/3p3q/3Pn3/2P1QN1P/PP3P1K/R5R1 b - - 5 26,52,xfHTNMCw,h5f5,117,80,f8h8,0.0238,0.0189,0.0148,0.0134,f8h8,f8h8,f8h8,f8h8,101.0,0.0238,-0.0104,True,club,0,queen,False,False,True,False,middlegame,False
2r3k1/3q2b1/pnrpp1pp/1p3p2/3P3P/1PPQ2B1/P2N1PP1/2R1R1K1 b - - 1 24,48,KXooTXIy,e6e5,107,46,b6d5,0.0376,0.0213,0.0158,0.0149,b6d5,b6d5,b6d5,b6d5,104.0,0.0376,-0.0227,True,club,0,pawn,False,False,True,True,middlegame,False
rn1qk2r/ppp1bppp/4p1b1/3p4/3PnB2/3BPN1P/PPPN1PP1/R2Q1RK1 b kq - 4 8,16,9e1xWR3k,e4d2,-44,3,f7f5,0.047,0.0323,0.0269,0.0151,b8d7,b8d7,b8d7,f7f5,115.0,0.047,-0.0319,True,club,1,knight,True,False,False,False,opening,False
2kr3r/ppp1q2p/5ppQ/2b1pb2/2Bp4/P6P/1PP1R1P1/RNB4K b - - 0 16,32,LINDD5mv,e7d7,127,3,a7a6,0.014,0.0152,0.0192,0.0276,d4d3,d4d3,d4d3,d4d3,203.0,0.0276,0.0136,True,club,2,queen,False,False,True,False,middlegame,False
2kr3r/bpp1q2p/p4ppQ/4pb2/1PBp4/P6P/1BP1R1P1/RN5K b - - 2 18,36,LINDD5mv,e7d6,83,1,c7c5,0.0128,0.018,0.0232,0.0233,d4d3,d4d3,d4d3,d4d3,152.0,0.0233,0.0105,True,club,2,queen,False,False,True,False,middlegame,False
2kr3r/bp5p/p4ppQ/2q1pb2/2Bp4/P6P/1BPNR1P1/R6K b - - 1 20,40,LINDD5mv,e5e4,161,62,e5e4,0.0263,0.0192,0.0183,0.0194,f5c2,f5c2,f5c2,f5c2,317.0,0.0263,-0.0069,True,club,2,pawn,False,False,True,True,middlegame,True
2kr3r/bp5p/p4ppQ/2q2b2/3p4/PB2pN1P/1BP1R1P1/R6K b - - 1 22,44,LINDD5mv,h8e8,130,15,d8d7,0.0237,0.0212,0.0218,0.0329,d4d3,d4d3,d4d3,d4d3,427.0,0.0329,0.0092,True,club,2,rook,False,False,True,False,middlegame,False
r4rk1/2q1bppp/1nb5/p2pP3/P1pP4/1pP2BP1/1P1NR1QP/R1B3K1 b - - 1 20,40,NKLzw4Cn,a8a6,46,3,c7d7,0.001,0.001,0.0008,0.0008,b6a4,b6a4,b6a4,b6a4,132.0,0.001,-0.0002,True,club,0,rook,False,False,True,False,middlegame,False
r2q2k1/1p1b1pp1/p6p/3p4/3N1Q2/2P5/PP3PPP/4R1K1 b - - 0 20,40,xCeaCGPv,d8f8,-61,22,d8b6,0.0352,0.0409,0.042,0.0364,d8b6,d8b6,d8b6,d8b6,165.0,0.042,0.0012,True,club,4,queen,False,False,True,False,endgame,False
r1b1k2r/2qpbppp/p1p1p1n1/2p1P3/2P5/1PN2N2/P2P1PPP/R1BQR1K1 b kq - 0 10,20,wHh64Eo0,f7f6,21,108,e8g8,0.0152,0.0157,0.0136,0.013,e8g8,e8g8,e8g8,e8g8,121.0,0.0157,-0.0022,True,club,1,pawn,False,False,True,True,opening,False
r4rk1/7p/p1pq2p1/2p2b2/N1Ppp3/BP4P1/P2PQ1PP/4R1K1 b - - 2 26,52,wHh64Eo0,d6f6,122,112,d4d3,0.0046,0.0037,0.0026,0.0014,d4d3,d4d3,d4d3,d4d3,174.0,0.0046,-0.0032,True,club,0,queen,False,False,True,False,middlegame,False
2kr4/ppp2Qpp/2n5/8/4r3/P3P3/1P3PqP/R1B1KR2 b Q - 0 16,32,chGdVlGg,c8b8,677,63,c6e5,0.0039,0.0052,0.0059,0.0068,g2h2,g2h2,c6e5,c6e5,152.0,0.0068,0.0029,True,club,7,king,False,False,True,False,middlegame,False
3qk2r/pp3p1p/7b/2rPpQ2/4B3/P7/1P3PPP/R3K2R b KQk - 0 18,36,LXhZFsXz,d8g5,-135,114,c5c1,0.0338,0.037,0.0375,0.0344,d8a5,d8a5,d8a5,d8a5,521.0,0.0375,0.0006,True,club,6,queen,False,False,True,False,middlegame,False
7r/pp3k1p/5b2/3P4/4BRP1/P5K1/1q5P/8 b - - 4 26,52,LXhZFsXz,f7e8,808,37,b2a3,0.0005,0.0004,0.0004,0.0003,b2a3,b2e5,b2e5,b2e5,146.0,0.0005,-0.0002,True,club,7,king,False,False,True,False,endgame,False
1r1q2k1/3b2p1/4pP1p/1p1p1p2/pn1P3P/6Q1/PP3PP1/R2B1RK1 b - - 0 24,48,LYtEBZEc,d8f8,-478,82,d8f6,0.0027,0.0012,0.0009,0.0008,d8f6,d8f6,d8f6,d8f6,100.0,0.0027,-0.0019,True,club,6,queen,False,False,True,False,middlegame,False
r3k2r/2p2ppp/p3b3/3PN3/5QPq/1PNP3P/1PP2P2/R3K2R b KQkq - 0 20,40,QAGeDo1p,h4f6,-760,22,g7g5,0.0292,0.026,0.0208,0.0175,e6d5,e6d7,e6d7,g7g5,132.0,0.0292,-0.0117,True,club,3,queen,False,False,True,False,middlegame,False
r3kr2/2p2p1p/p3PQ2/4N1p1/6Pq/1PNP3P/1PP2P2/R3K2R b KQq - 0 22,44,QAGeDo1p,h4f2,-1003,993,f7e6,0.0056,0.0062,0.0092,0.0109,f7e6,f7e6,f7e6,f7e6,995.0,0.0109,0.0053,True,club,3,queen,True,True,False,False,middlegame,False
6k1/6p1/4b3/1P4R1/2P1PpP1/2PP4/1r6/5BK1 b - - 0 34,68,NHnmdIfw,g8h7,-427,19,f4f3,0.0134,0.0108,0.0075,0.0057,f4f3,f4f3,f4f3,b2c2,172.0,0.0134,-0.0077,True,club,3,king,False,False,True,False,endgame,False
r1q5/p6k/P1p2Brp/3pP3/2nP3R/2P5/2Q1KPP1/R7 b - - 4 26,52,GRaXV8Hr,c8f8,-658,901,c8e6,0.0225,0.0199,0.0174,0.0149,c8g8,c8g8,c8e6,c8e6,1338.0,0.0225,-0.0076,True,club,3,queen,False,False,True,False,middlegame,False
6k1/1pp2pqp/4p1p1/2r5/P7/QPPn1P2/5PPP/2R2RK1 b - - 4 24,48,KNLkXgKz,g7e5,-207,33,c5c3,0.0126,0.0118,0.0114,0.0122,d3c1,d3c1,d3c1,d3c1,203.0,0.0126,-0.0004,True,club,5,queen,False,False,True,False,endgame,False
