fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
3r2k1/pp3p2/4pP1p/3BP1p1/3Pn2N/3R4/P5PP/2qQ2K1 b - - 2 28,56,T2025-09_6,c1d1,121,484,c1d1,0.8146,0.9125,0.9542,0.9632,c1d1,c1d1,c1d1,c1d1,0.0,0.9632,0.1486,False
6k1/pp3p2/4pP1p/3rP1p1/3Pn3/5N2/P5PP/3R2K1 b - - 1 30,60,T2025-09_6,b7b5,121,39,g5g4,0.0461,0.0451,0.0484,0.0616,e4c3,e4c3,e4c3,e4c3,121.0,0.0616,0.0155,False
6k1/pp3p2/4pP1p/3rP3/3P2p1/2n5/P2R2PP/4N1K1 b - - 3 32,64,T2025-09_6,d5a5,99,10,d5d4,0.1198,0.1466,0.1822,0.2171,c3e4,c3e4,c3e4,c3b5,110.0,0.2171,0.0973,False
6k1/pp3p2/4pP1p/4P3/3R2p1/8/P3nKPP/4N3 b - - 2 34,68,T2025-09_6,e2d4,59,726,e2d4,0.9996,0.9999,0.9999,0.9999,e2d4,e2d4,e2d4,e2d4,0.0,0.9999,0.0003,False
rnbqk2r/pp3pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 2 8,16,T2025-09_7,e8g8,-41,0,e8g8,0.6733,0.7158,0.8031,0.9259,e8g8,e8g8,e8g8,e8g8,0.0,0.9259,0.2526,False
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P7/2N3PP/1P1NPPB1/R1BQ1RK1 b - - 0 12,24,T2025-09_7,a8b8,-40,17,a8b8,0.0591,0.0669,0.1102,0.2292,d7b6,d7b6,d7e5,b7b6,-1.0,0.2292,0.1701,False
1rbqr1k1/1p3pbp/pn1p1np1/2pP4/P7/N1N3PP/1P2PPB1/R1BQ1RK1 b - - 4 14,28,T2025-09_7,c8f5,-36,10,c8d7,0.1779,0.1843,0.2023,0.2196,c8d7,c8d7,c8d7,c8d7,3.0,0.2196,0.0417,False
nr1qr1k1/1p1b1pbp/p2p1np1/P1pP4/2N5/2N3PP/1P2PPB1/R1BQ1RK1 b - - 2 16,32,T2025-09_7,d7b5,-48,54,d7b5,0.3048,0.2885,0.2598,0.1911,d7b5,d7b5,d7b5,d7f5,173.0,0.3048,-0.1137,False
nr1qr1k1/1p3pbp/p2p1np1/P1pP4/2Q5/2N3PP/1P2PPB1/R1B2RK1 b - - 0 18,36,T2025-09_7,a8c7,-4,25,a8c7,0.3964,0.5866,0.7607,0.853,a8c7,a8c7,a8c7,a8c7,0.0,0.853,0.4566,False
1r1qr1k1/2n2pbp/pP1p1np1/2pP4/2Q5/2N3PP/1P1BPPB1/R4RK1 b - - 0 20,40,T2025-09_7,b8b6,-21,109,b8b6,0.9594,0.9688,0.972,0.9743,b8b6,b8b6,b8b6,b8b6,0.0,0.9743,0.0149,False
3qr1k1/2n2pbp/p2p1np1/1rpP4/N1Q1P3/6PP/1P1B1PB1/R4RK1 b - - 0 22,44,T2025-09_7,b5b7,29,36,f6d7,0.0054,0.0038,0.002,0.001,f6d7,f6d7,f6d7,f6d7,40.0,0.0054,-0.0044,False
3qr1k1/2n2pbp/pN1p2p1/1rpP4/2Q1PP2/6PP/1P1B2B1/R4RK1 b - - 0 24,48,T2025-09_7,b5b6,-32,24,b5b6,0.9027,0.9143,0.9203,0.9203,b5b6,b5b6,b5b6,b5b6,0.0,0.9203,0.0176,False
3qr1k1/5pbp/pr1p2p1/BnpP4/2Q1PP2/6PP/1P4B1/R4RK1 b - - 3 26,52,T2025-09_7,g7b2,-136,19,d8b8,0.3159,0.2501,0.1833,0.1298,g7b2,g7d4,g7d4,g7d4,82.0,0.3159,-0.1861,False
4r1k1/5pbp/pq1p2p1/1npP4/2Q1PP2/6PP/RP4B1/5RK1 b - - 1 28,56,T2025-09_7,a6a5,-176,3,h7h5,0.0574,0.0547,0.0537,0.045,b5d4,b5d4,b5d4,b5d4,49.0,0.0574,-0.0124,False
