fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
3r2k1/1pN2pp1/1p1np2p/8/5P2/P4K2/1P4PP/3R4 b - - 1 34,68,YxIwGvic,g8f8,107,158,g8f8,0.2827,0.383,0.4606,0.5696,g8f8,g8f8,g8f8,g8f8,0.0,0.5696,0.2869,False
rnbqk2r/pp2n1pp/3bpp2/3p4/3P3B/2PB1N2/PP3PPP/RN1QK2R b KQkq - 1 8,16,reurrcYS,b8c6,13,2,e8g8,0.0923,0.1049,0.1231,0.2014,e8g8,e8g8,e8g8,e8g8,-2.0,0.2014,0.1091,False
rnbq1rk1/pp2n1p1/3bpp1p/3p4/3P4/2PB1NB1/PPQ2PPP/RN2K2R b KQ - 1 10,20,reurrcYS,b8c6,106,55,b8c6,0.2114,0.2348,0.3987,0.6866,b8c6,f6f5,b8c6,b8c6,0.0,0.6866,0.4752,False
r1bq1rk1/pp2n1p1/2nb1p1p/3pP3/8/2PB1NB1/PPQ2PPP/RN3RK1 b - - 0 12,24,reurrcYS,f6e5,132,165,f6e5,0.7482,0.7552,0.8603,0.9434,f6e5,f6e5,f6e5,f6e5,0.0,0.9434,0.1952,False
r1bq2k1/pp2n1p1/2nb3p/1B1pp3/8/2P2PB1/PPQ2P1P/RN3RK1 b - - 0 14,28,reurrcYS,h6h5,26,1,e7f5,0.0037,0.0028,0.0022,0.0022,c8h3,c8h3,c8h3,c8h3,64.0,0.0037,-0.0015,False
r1bq2k1/pp4p1/2nb3p/3pp3/B7/2P2PP1/PPQ4P/RN3RK1 b - - 0 16,32,reurrcYS,c8h3,-46,43,a7a6,0.3003,0.4787,0.6207,0.7238,c8h3,c8h3,c8h3,c8h3,0.0,0.7238,0.4235,False
r2q2k1/1p4p1/p1nbb2p/3pp3/8/1BP2PP1/PP5P/RN1Q1RK1 b - - 3 18,36,reurrcYS,c6a5,-46,18,c6e7,0.036,0.0279,0.019,0.0103,d6c5,d6c5,d6c5,d6c5,15.0,0.036,-0.0257,False
r5k1/1p2n1p1/pq1bb2p/3pp3/8/1BP2PP1/PP1N2KP/R2Q1R2 b - - 7 20,40,reurrcYS,e7f5,-72,59,a8f8,0.3174,0.3541,0.345,0.3068,e7f5,e7f5,a8f8,a8f8,91.0,0.3541,-0.0106,False
1b3rk1/1p2n1p1/pq2b2p/3pp3/8/1BP2PP1/PP3NKP/R2Q1R2 b - - 11 22,44,reurrcYS,e7f5,-69,74,g7g5,0.2144,0.2583,0.2854,0.3011,b8a7,b8a7,e7f5,e7f5,0.0,0.3011,0.0867,False
1b3rk1/1p6/pq2b2p/3ppnp1/6N1/1BP2PP1/PP2Q1KP/R4R2 b - - 3 24,48,reurrcYS,h6h5,0,302,b6d6,0.4294,0.4832,0.4974,0.4732,h6h5,h6h5,h6h5,h6h5,0.0,0.4974,0.0438,False
1b3rk1/1p6/p2qb3/3ppnpp/8/1BP1NPP1/PP2Q1KP/3R1R2 b - - 1 26,52,reurrcYS,h5h4,-354,20,f5e7,0.159,0.1174,0.0793,0.0448,f5e3,f5e3,f5e3,f5e3,86.0,0.159,-0.1142,False
1b3rk1/1p2n3/p2qb3/4p1pp/2Pp2P1/1B2NP2/PP2Q1KP/3R1R2 b - - 0 28,56,reurrcYS,e5e4,128,128,d6c6,0.0366,0.0313,0.0262,0.0225,h5g4,h5g4,h5g4,h5g4,292.0,0.0366,-0.0141,True
