fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,piece,capture,check,quiet,phase,advance,retreat,pawn_move,king_move,toward_own_king
r5k1/pprbppbp/3p1np1/q3n3/4P3/1PN1B1PP/P1PQNPB1/1R3RK1 b - - 2 14,28,VmC5FNuX,d7h3,217,212,a8c8,0.0029,0.0019,0.001,0.0004,a8c8,a8c8,a8c8,a8c8,233.0,0.0029,-0.0025,True,club,03_disagreements_b2,2212,2192,2192,False,True,2,bishop,True,False,False,middlegame,True,False,False,False,False
2r3k1/pprbppbp/q2p1np1/4n3/1P2P3/2N1B1PP/P1PQNPB1/1R1R2K1 b - - 2 16,32,VmC5FNuX,d7h3,277,111,e5c4,0.002,0.0013,0.001,0.0009,e5c4,e5c4,e5c4,e5c4,103.0,0.002,-0.0011,True,club,03_disagreements_b2,2212,2192,2192,False,True,2,bishop,True,False,False,middlegame,True,False,False,False,False
r1b1k2r/pp1p2bp/6p1/3Np3/1q2P3/4B3/PPP3PP/R2Q1RK1 b - - 3 14,28,aFwK7So9,b4c4,-769,23,b4e4,0.0193,0.0214,0.0223,0.0263,b4e4,b4e4,b4e4,b4e4,505.0,0.0263,0.007,True,club,03_disagreements_b2,2044,2038,2038,False,True,1,queen,False,False,True,middlegame,False,False,False,False,False
1Q6/2p1kppp/p1b1p3/8/1npq4/6P1/1P3P1P/R4RK1 b - - 3 22,44,gF9Qs385,d4b6,0,40,d4d5,0.0112,0.0162,0.0201,0.0214,d4e4,d4e4,d4e4,d4e4,516.0,0.0214,0.0102,True,club,03_disagreements_b2,1834,1844,1844,False,True,0,queen,False,False,True,endgame,False,True,False,False,False
r1bqr1k1/pp1n1pbp/5np1/4p3/2NpP3/1P1P1N2/PB2BPPP/R2Q1RK1 b - - 1 12,24,4iZ9muqn,g7f8,28,34,g7f8,0.028,0.0203,0.0155,0.0122,b7b5,b7b5,b7b5,b7b5,122.0,0.028,-0.0158,True,club,03_disagreements_b2,2018,2055,2055,True,False,3,bishop,False,False,True,opening,False,True,False,False,False
2r5/1r3q1k/1p1R2p1/p3Bp1p/b1p1pP2/2P1Q3/1P3RPP/6K1 b - - 3 32,64,873IuBfD,f7e7,-104,0,c8c6,0.0264,0.0171,0.0106,0.0091,b6b5,b6b5,c8c6,c8c6,408.0,0.0264,-0.0173,True,club,03_disagreements_b2,1889,1890,1890,False,True,5,queen,False,False,True,middlegame,False,False,False,False,False
r3k3/ppp1nb2/2n2p2/2Pp4/3P4/4RN1q/PP1N1P2/R2Q2K1 b q - 1 20,40,TxNTbfyp,h3h6,171,31,e8c8,0.0047,0.003,0.0015,0.0008,e8c8,e8c8,e8c8,e8c8,171.0,0.0047,-0.0039,True,club,03_disagreements_b2,1839,1930,1930,False,True,0,queen,False,False,True,middlegame,False,True,False,False,False
r3kb1r/pp2pppp/1qn2n2/3p3b/3P1B2/1P1B1P2/P1P1N1PP/RN1Q1R1K b kq - 2 10,20,4LSqEVks,c6b4,-27,14,h5g6,0.0234,0.0133,0.011,0.0078,c6d4,c6d4,c6d4,c6d4,406.0,0.0234,-0.0156,True,club,03_disagreements_b2,1808,1889,1889,False,True,3,knight,False,False,True,opening,True,False,False,False,False
2kbRN1r/pp3p2/2p5/8/8/2P5/PP3PKP/8 b - - 7 26,52,T9wQ7A4X,h8h5,0,0,c8c7,0.0275,0.0233,0.022,0.0294,h8g8,h8g8,h8g8,c8c7,576.0,0.0294,0.0019,True,club,03_disagreements_b2,1869,1856,1856,False,True,0,rook,False,False,True,endgame,True,False,False,False,False
rq3rk1/1b1p1ppp/p1nPp3/1pp1n1N1/5P2/1P6/PBPPB1PP/R2Q1RK1 b - - 0 14,28,KNoDpvPI,f7f6,-116,119,e5g6,0.0445,0.0279,0.0189,0.0124,e5g6,e5g6,e5g6,e5g6,134.0,0.0445,-0.0321,True,club,03_disagreements_b2,1844,1846,1846,False,True,2,pawn,False,False,True,middlegame,True,False,True,False,False
5rk1/3p1rp1/p2np2p/1p6/3q1P2/1PR3P1/P2PQ2P/5R1K b - - 6 30,60,KNoDpvPI,b5b4,520,12,d4b4,0.0413,0.0272,0.0218,0.0211,d6e4,d6e4,d6e4,d6e4,276.0,0.0413,-0.0202,True,club,03_disagreements_b2,1844,1846,1846,False,True,4,pawn,False,False,True,middlegame,True,False,True,False,False
2r1k2r/1n3pp1/7p/pp1pP3/3PbP2/B1P1RN1P/P5P1/2R3K1 b k - 0 24,48,GsBSNrfF,h6h5,-129,26,e8d7,0.0093,0.0071,0.0069,0.0088,b5b4,b5b4,b5b4,b5b4,109.0,0.0093,-0.0005,True,club,03_disagreements_b2,1862,1849,1849,False,True,5,pawn,False,False,True,middlegame,True,False,True,False,False
4r1k1/1p2P2b/p1nQ1R1p/b1p5/2P5/PPq3PP/6BK/8 b - - 0 30,60,Bh5PkiEZ,g8g7,443,60,c6e7,0.02,0.0155,0.0139,0.0135,c6e7,c6e7,c6e7,c3e5,1525.0,0.02,-0.0065,True,club,03_disagreements_b2,1814,1863,1863,False,True,6,king,False,False,True,middlegame,True,False,False,True,False
4r1k1/1p2n2b/p6R/b1p4Q/2P5/PP4PP/3q2BK/8 b - - 6 34,68,Bh5PkiEZ,h7g6,0,1,h7g6,0.0329,0.0318,0.0359,0.0487,h7e4,h7e4,h7e4,h7e4,1997.0,0.0487,0.0158,True,club,03_disagreements_b2,1814,1863,1863,True,False,6,bishop,False,False,True,middlegame,True,False,False,False,False
4r1k1/2b2p1p/2p5/pp4K1/3P4/P1PQ2P1/1P1N1Pq1/4R3 b - - 0 28,56,slvkifBU,h7h6,764,83,e8e1,0.0214,0.0208,0.0256,0.0352,g2d5,g2d5,g2d5,g2d5,174.0,0.0352,0.0138,True,club,03_disagreements_b2,1983,2138,2138,False,True,4,pawn,False,True,False,endgame,True,False,True,False,False
2Q5/pp3p1k/7p/6pK/8/1P3P2/P1R2P1P/5qr1 b - - 1 28,56,ApMfLSvL,f1d3,1995,1283,f1d3,0.0249,0.0233,0.0238,0.0269,f1h3,f1h3,f1h3,f1h3,3978.0,0.0269,0.002,True,club,03_disagreements_b2,2067,1976,1976,True,False,0,queen,False,False,True,endgame,False,True,False,False,False
rn1q4/1b4kp/p7/6b1/1p1P2QP/8/PP3PP1/R3R1K1 b - - 0 20,40,HTYvGIvQ,b8d7,-336,13,h7h5,0.0235,0.0207,0.0191,0.02,h7h6,h7h6,h7h6,h7h6,247.0,0.0235,-0.0035,True,club,03_disagreements_b2,1987,2035,2035,False,True,6,knight,False,False,True,middlegame,True,False,False,False,False
2r1r2k/2q1b1pp/5p2/5P2/5N2/P4Q1P/2p3P1/2R2RK1 b - - 3 30,60,yFK8jZPi,c7a7,426,39,c7c5,0.0202,0.0209,0.019,0.0189,e7a3,e7a3,e7a3,e7a3,628.0,0.0209,-0.0013,True,club,03_disagreements_b2,1979,1993,1993,False,True,0,queen,False,True,False,middlegame,False,False,False,False,False
2r1r2k/4b1pp/5p2/5P1Q/5N2/q6P/2p3PK/2R2R2 b - - 1 32,64,yFK8jZPi,a3c5,363,4,e7d6,0.0014,0.001,0.0009,0.001,e7d6,e7d6,e7d6,e7d6,284.0,0.0014,-0.0004,True,club,03_disagreements_b2,1979,1993,1993,False,True,0,queen,False,False,True,middlegame,False,True,False,False,False
2N3k1/5pp1/p3pn1p/2Nn4/1P1Pb3/P7/5RPP/7K b - - 4 32,64,H2AnAoBF,e4h7,-406,1,f6g4,0.004,0.0042,0.0041,0.0042,f6g4,d5c7,d5c7,d5c7,114.0,0.0042,0.0002,True,club,03_disagreements_b2,1901,1884,1884,False,True,1,bishop,False,False,True,endgame,False,True,False,False,False
6k1/R4bp1/1r3p1p/4p3/4P2b/P4PN1/6PP/3R3K b - - 1 34,68,jFWnhy8B,g7g6,-436,31,f7e6,0.0122,0.0112,0.0129,0.0184,h4g3,h4g3,h4g3,f7b3,222.0,0.0184,0.0062,True,club,03_disagreements_b2,1985,1975,1975,False,True,1,pawn,False,False,True,endgame,True,False,True,False,False
3r3r/1k1nb1pp/1pp2p2/4p3/1P2P3/2P1B3/2KN1PPP/R2R4 b - - 3 20,40,JfiyWDre,e7d6,-135,60,b6b5,0.005,0.0044,0.0035,0.0022,d8a8,d8a8,d8a8,d8a8,144.0,0.005,-0.0028,True,club,03_disagreements_b2,2182,2191,2191,False,True,5,bishop,False,False,True,middlegame,True,False,False,False,False
3r3r/2k3pp/1npb1p2/Np2p3/1P2P3/1KP1B3/3R1PPP/R7 b - - 7 24,48,JfiyWDre,d6e7,-49,7,d8d7,0.0215,0.0218,0.0219,0.0275,b6c4,d8a8,d8a8,d8a8,521.0,0.0275,0.006,True,club,03_disagreements_b2,2182,2191,2191,False,True,5,bishop,False,False,True,middlegame,False,True,False,False,False
2rq1r2/p4pkp/4pnp1/3pP3/1pPP4/3Q4/PP1N1PPP/R4RK1 b - - 0 20,40,kseLFk2a,f6g8,-217,17,f6d7,0.0065,0.0089,0.0116,0.0154,d5c4,d5c4,d5c4,d5c4,233.0,0.0154,0.0089,True,club,03_disagreements_b2,1888,1911,1911,False,True,5,knight,False,False,True,middlegame,False,True,False,False,False
2r1r1k1/1b1q1pp1/3p1b1p/pP2p3/3pP3/1B1P1PP1/1PP1QNKP/R3R3 b - - 0 20,40,oGNJWAKo,f6d8,-71,20,c8a8,0.0101,0.0093,0.0089,0.0199,d7b5,d7b5,d7b5,d7b5,124.0,0.0199,0.0098,True,club,03_disagreements_b2,1926,1911,1911,False,True,2,bishop,False,False,True,middlegame,False,True,False,False,False
r1bq1bkr/pp4pp/2npN3/3Q4/8/8/PPP2PPP/RNB1K2R b KQ - 0 12,24,gwcdlcjb,d8e8,445,4,d8a5,0.047,0.0315,0.023,0.0258,c8e6,c8e6,c8e6,c8e6,2444.0,0.047,-0.0212,True,club,03_disagreements_b2,1877,2058,2058,False,True,3,queen,False,False,True,opening,False,False,False,False,False
r1b2k1r/p5pp/3p4/np6/5B2/8/PPP2PPP/RN3RK1 b - - 1 16,32,gwcdlcjb,f8f7,-255,41,d6d5,0.0231,0.0266,0.0218,0.0133,d6d5,d6d5,d6d5,d6d5,130.0,0.0266,-0.0098,True,club,03_disagreements_b2,1877,2058,2058,False,True,5,king,False,False,True,middlegame,True,False,False,True,False
3rr1k1/pRp2p2/q7/6pp/2NPB3/P1PQPPPb/5K2/8 b - - 3 26,52,DtfdMN8v,e8e4,323,133,h5h4,0.0109,0.019,0.0303,0.0427,h3e6,h3e6,h3e6,h3e6,228.0,0.0427,0.0318,True,club,03_disagreements_b2,2042,2029,2029,False,True,0,rook,True,False,False,middlegame,True,False,False,False,False
3rr1k1/p4p2/8/2R3p1/2NPB3/P1PQPP1b/3K4/6q1 b - - 8 32,64,DtfdMN8v,h3e6,130,15,h3f1,0.0103,0.0096,0.0116,0.0158,h3f1,h3f1,h3f1,h3f1,101.0,0.0158,0.0055,True,club,03_disagreements_b2,2042,2029,2029,False,True,0,bishop,False,False,True,middlegame,False,True,False,False,False
2r5/1p2kpp1/p3p3/4n2r/1P6/P6P/4BPP1/3RR1K1 b - - 1 26,52,L52yn6JS,h5h4,0,5,h5h6,0.0329,0.0285,0.0274,0.0346,h5g5,h5g5,h5g5,h5g5,347.0,0.0346,0.0017,True,club,03_disagreements_b2,1869,1919,1919,False,True,5,rook,False,False,True,endgame,True,False,False,False,False
rn2kb1r/ppq1pppp/2p2n2/8/3PP1b1/1QN5/PP1B1PPP/2R1KBNR b Kkq - 4 8,16,WRwHBw5z,c7b6,-138,28,b8d7,0.0058,0.0064,0.0099,0.0188,e7e6,e7e6,e7e6,e7e6,112.0,0.0188,0.013,True,club,03_disagreements_b2,1830,1813,1813,False,True,3,queen,False,False,True,opening,True,False,False,False,False
2k4b/1p1qp3/1nP1p3/4Prpp/3P4/1Q2B3/5PPP/2R2RK1 b - - 0 26,52,WRwHBw5z,d7c6,-917,27,b7c6,0.0281,0.0253,0.0198,0.0149,b7c6,b7c6,b7c6,b7c6,1064.0,0.0281,-0.0132,True,club,03_disagreements_b2,1830,1813,1813,False,True,1,queen,True,False,False,middlegame,True,False,False,False,False
r3r3/1q1b1p1k/2n3pp/pp1p4/2pP4/P1P1R3/1PBQ1PPP/4RNK1 b - - 4 26,52,0gIHpaVU,b7c7,-84,1,b7c7,0.0351,0.0331,0.03,0.0235,e8e3,e8e3,e8e3,e8e3,117.0,0.0351,-0.0116,True,club,03_disagreements_b2,2047,2055,2055,True,False,2,queen,False,False,True,middlegame,False,False,False,False,False
6k1/1pp2pp1/p3p2p/8/1PP5/P3QPPK/1q5P/8 b - - 2 26,52,TJU8NdbY,b2b1,288,114,b2b1,0.0439,0.0464,0.0455,0.0398,b2f6,b2f6,b2f6,b2f6,141.0,0.0464,-0.0041,True,club,03_disagreements_b2,2214,2276,2276,True,False,0,queen,False,False,True,endgame,True,False,False,False,False
r2k1r2/1bp5/pb5p/1p2pB2/4P1n1/2P5/PP1N1PP1/R1B2RK1 b - - 1 18,36,xVf5Epea,f8f5,40,30,f8f5,0.015,0.0197,0.023,0.0212,g4f6,g4f6,g4f6,g4f6,173.0,0.023,0.0062,True,club,03_disagreements_b2,1992,2149,2149,True,False,5,rook,True,False,False,middlegame,True,False,False,False,False
6r1/2p1k3/pB5p/1p2pP2/6n1/2P2b2/PP3PP1/R4RK1 b - - 0 22,44,xVf5Epea,g4f6,274,254,c7b6,0.023,0.01,0.005,0.0047,c7b6,c7b6,c7b6,c7b6,263.0,0.023,-0.0183,True,club,03_disagreements_b2,1992,2149,2149,False,True,0,knight,False,False,True,endgame,False,True,False,False,False
6r1/8/pp1R3p/1p3k2/5p2/2P5/PP3P2/7K b - - 1 28,56,xVf5Epea,f5e4,401,174,g8g6,0.0225,0.0111,0.0041,0.0026,g8g6,g8g6,g8g6,g8g6,187.0,0.0225,-0.0199,True,club,03_disagreements_b2,1992,2149,2149,False,True,0,king,False,False,True,endgame,True,False,False,True,False
6k1/2p1rpp1/p2p1q2/1p3PP1/5p2/P2Q3P/1b3P1K/1B1R4 b - - 0 32,64,D8Y4uWpP,f6c3,229,43,f6e5,0.0239,0.0233,0.0251,0.0347,f6g5,f6g5,f6g5,f6g5,529.0,0.0347,0.0108,True,club,03_disagreements_b2,2023,2171,2171,False,True,0,queen,False,False,True,endgame,True,False,False,False,False
4rrk1/pp3pp1/8/3Bn1R1/8/P1K4b/1P3P1P/3R4 b - - 0 24,48,8p8x6lrS,e8e7,441,14,h3e6,0.0124,0.0135,0.0166,0.0242,h3e6,h3e6,h3e6,h3e6,430.0,0.0242,0.0118,True,club,03_disagreements_b2,1915,1914,1914,False,True,4,rook,False,False,True,middlegame,True,False,False,False,False
1r6/p1p1rpk1/1p1p2p1/1P5p/n1P1P2P/5PPB/P4R2/3R2K1 b - - 5 26,52,PtpQax3w,b8a8,53,5,b8e8,0.0071,0.0075,0.0074,0.0099,a4c3,a4c3,a4c3,a4c3,170.0,0.0099,0.0028,True,club,03_disagreements_b2,1974,1952,1952,False,True,2,rook,False,False,True,endgame,False,False,False,False,False
r2q1rk1/5ppp/2p2n2/ppp5/P2pPP1P/1B1P1P2/1PPQ4/2KR3R b - - 0 16,32,99AKoaGp,g8h8,-48,5,f6d7,0.0007,0.0011,0.0019,0.0035,b5a4,b5a4,b5a4,c5c4,151.0,0.0035,0.0028,True,club,03_disagreements_b2,2089,2199,2199,False,True,2,king,False,False,True,middlegame,False,False,False,True,False
r1bqk2r/pp3pp1/2n5/2b1p1N1/2B3p1/3P4/PPP2PP1/RNBQ1RK1 b kq - 1 10,20,0ufgwGXi,f7f5,-142,67,d8f6,0.0128,0.0133,0.0128,0.0108,f7f6,d8f6,d8f6,d8f6,165.0,0.0133,-0.002,True,club,03_disagreements_b2,1983,2044,2044,False,True,7,pawn,False,False,True,opening,True,False,True,False,False
r5k1/pp3ppp/2p3q1/8/1P6/P1Q1R2P/1B4PK/3r4 b - - 4 30,60,nWc9dnbU,d1d5,469,19,a8d8,0.0115,0.0148,0.0204,0.0229,g6d6,g6d6,a8d8,a8d8,147.0,0.0229,0.0114,True,club,03_disagreements_b2,1921,1881,1881,False,True,0,rook,False,False,True,endgame,False,True,False,False,False
3r4/2pr1p1k/pb3q1p/1p2p3/4P2p/1PP2N1P/1P2QPP1/3R1RK1 b - - 9 22,44,Ohhe4t5B,b6f2,169,187,f6f4,0.0022,0.0011,0.0005,0.0003,d7d1,d7d1,d7d1,d8g8,685.0,0.0022,-0.0019,True,club,03_disagreements_b2,2100,2134,2134,False,True,5,bishop,True,True,False,middlegame,True,False,False,False,False
r3kb1r/pp1b1ppN/1q2p2n/3pP3/3n4/3B4/PP3PPP/RNBQ1RK1 b kq - 0 10,20,nuf5sLYR,h8h7,82,18,e8c8,0.0403,0.0269,0.0139,0.0062,h6f5,h6f5,h6f5,d4f5,160.0,0.0403,-0.0341,True,club,03_disagreements_b2,2002,1969,1969,False,True,3,rook,True,False,False,opening,True,False,False,False,False
1k1r3r/pp1N1p2/3bp2p/3p4/3Q4/2N5/Pq3PPP/2R2RK1 b - - 0 18,36,nuf5sLYR,b8a8,-546,318,d8d7,0.0357,0.0315,0.0333,0.0363,d8d7,d8d7,d8d7,d8d7,1451.0,0.0363,0.0006,True,club,03_disagreements_b2,2002,1969,1969,False,True,7,king,False,False,True,middlegame,False,False,False,True,False
rnbqk2r/1p2bppp/p2ppn2/6B1/2PNP3/2NB4/PP3PPP/R2QK2R b KQkq - 3 8,16,rQ8mdYxh,f6e4,71,112,b8c6,0.0082,0.0166,0.0203,0.0227,e8g8,e8g8,e8g8,e8g8,121.0,0.0227,0.0145,True,club,03_disagreements_b2,2033,2087,2087,False,True,3,knight,True,False,False,opening,True,False,False,False,False
2b1rrk1/5p1p/p2p2p1/2pP4/2P5/1P1B1QR1/Pq4PP/5R1K b - - 5 24,48,rQ8mdYxh,b2d4,74,26,b2a2,0.0154,0.0204,0.0267,0.0314,b2a2,b2a2,b2a2,b2a2,135.0,0.0314,0.016,True,club,03_disagreements_b2,2033,2087,2087,False,True,0,queen,False,False,True,middlegame,False,True,False,False,False
1br3rk/5p1p/p4p2/1p1R4/1QP1p3/1P2P2q/P4PP1/R3N1K1 b - - 0 26,52,4wvffJg0,g8g2,487,310,g8g2,0.03,0.0276,0.0305,0.0379,h3h2,h3h2,h3h2,h3h2,296.0,0.0379,0.0079,True,club,03_disagreements_b2,1832,2020,2020,True,False,0,rook,True,True,False,middlegame,True,False,False,False,False
2br4/5kb1/1Q1p1q1p/2pPpp2/p1N1P1p1/P2P4/4BPPP/1R4K1 b - - 1 26,52,djt49k3Y,f7g8,-224,12,g7f8,0.0181,0.0264,0.0282,0.026,f5e4,f5f4,f5f4,f5f4,109.0,0.0282,0.0079,True,club,03_disagreements_b2,2446,2625,2625,False,True,6,king,False,False,True,middlegame,False,True,False,True,False
2br4/R3bk2/1Q1p1q1p/2pPp3/p1N1P1p1/P2P1p2/5PPP/5BK1 b - - 3 30,60,djt49k3Y,g4g3,-315,3,f3g2,0.0252,0.0143,0.0099,0.0072,f3g2,f3g2,f3g2,f3g2,363.0,0.0252,-0.018,True,club,03_disagreements_b2,2446,2625,2625,False,True,6,pawn,False,False,True,middlegame,True,False,True,False,False
r2q1r2/2p2p1k/1p1p1bp1/p1nPp1Bn/2P1P2P/2N2Q2/PP3P2/2KR3R b - - 4 20,40,KlCLwedW,f8h8,401,5,f6g5,0.0141,0.0162,0.0181,0.016,f6g5,f6g5,f6g5,f6g5,119.0,0.0181,0.0019,True,club,03_disagreements_b2,1900,1999,1999,False,True,4,rook,False,False,True,middlegame,False,False,False,False,False
r6k/5q2/3pB1p1/2pPp2p/2PpP2P/P2QbrP1/1RR3K1/8 b - - 3 34,68,sSEjLSb0,f3g3,511,299,f3g3,0.0134,0.0106,0.008,0.0059,f7f6,f7f6,f7f6,f7f6,268.0,0.0134,-0.0075,True,club,03_disagreements_b2,2334,2225,2225,True,False,0,rook,True,True,False,middlegame,False,False,False,False,False
r4qk1/1p2n2p/p2p4/3PbpB1/3N4/7P/PP1Q2P1/R6K b - - 3 24,48,BHdtFaxa,a8e8,-89,10,e5d4,0.0089,0.0117,0.0134,0.0212,e7d5,e7d5,e7d5,e7d5,258.0,0.0212,0.0123,True,club,03_disagreements_b2,1894,2026,2026,False,True,5,rook,False,False,True,middlegame,False,False,False,False,False
r1b2rk1/ppp1qppp/3b4/3p4/4n3/1PP1P2P/PB1N1PP1/R2QKB1R b KQ - 4 12,24,8fgsm3DB,e4g3,252,85,e7g5,0.0164,0.0189,0.0228,0.0245,e7f6,e7f6,e7f6,e4f2,294.0,0.0245,0.0081,True,club,03_disagreements_b2,1875,1876,1876,False,True,3,knight,False,False,True,opening,True,False,False,False,False
rr6/7p/5ppk/8/4pP1P/8/PBR5/1K4R1 b - - 0 34,68,8fgsm3DB,a8a6,-245,1,b8b6,0.0181,0.023,0.0263,0.0258,f6f5,f6f5,f6f5,f6f5,241.0,0.0263,0.0077,True,club,03_disagreements_b2,1875,1876,1876,False,True,7,rook,False,False,True,endgame,True,False,False,False,False
r2qk1nr/pp2b1pp/2n1pp2/2ppPb2/5P2/2NP1N2/PPP1B1PP/R1BQ1RK1 b kq - 5 8,16,RPcrrPQH,f5g6,45,2,g8h6,0.0037,0.0066,0.0133,0.0233,f6e5,f6e5,f6e5,f6e5,120.0,0.0233,0.0196,True,club,03_disagreements_b2,1986,1913,1913,False,True,3,bishop,False,False,True,opening,False,True,False,False,False
3q1rk1/5pp1/rp1p3p/8/P1Q1b3/5N1P/5PP1/R4RK1 b - - 0 22,44,XRCZuUB5,d8a8,118,46,d8a8,0.0269,0.0258,0.0278,0.0449,e4f3,e4f3,e4f3,e4f3,137.0,0.0449,0.018,True,club,03_disagreements_b2,2162,2227,2227,True,False,0,queen,False,False,True,middlegame,False,False,False,False,False
2r1r1k1/pp1q1ppp/3b4/5b2/3P4/1PB2Q1P/P2K1PP1/R6R b - - 2 20,40,SsRdlpbU,d6b4,1991,1170,d6a3,0.0168,0.0169,0.0171,0.0164,f5e4,f5e4,f5e4,f5e4,1127.0,0.0171,-0.0004,True,club,03_disagreements_b2,1967,1914,1914,False,True,4,bishop,False,False,True,middlegame,True,False,False,False,False
2r1r1k1/pp1q1ppp/6b1/8/3P2P1/bPB2Q1P/P2K1P2/4R2R b - - 0 22,44,SsRdlpbU,a3b4,771,114,b7b5,0.0466,0.0463,0.045,0.0399,e8e1,e8e1,e8e1,e8e1,198.0,0.0466,-0.0067,True,club,03_disagreements_b2,1967,1914,1914,False,True,4,bishop,False,False,True,middlegame,False,True,False,False,False
r4r1k/2pb1ppp/1p1p4/3Pp3/p1P1Pq2/P2R3P/1PB1QPP1/5RK1 b - - 3 24,48,Rl0fBuS7,f7f6,47,0,f4h6,0.0051,0.0047,0.0042,0.0041,f4g5,f4g5,f4g5,f7f5,119.0,0.0051,-0.001,True,club,03_disagreements_b2,2286,2264,2264,False,True,2,pawn,False,False,True,middlegame,True,False,True,False,False
2bqkb1r/Q2n1ppp/1pp1pn2/2Pp4/1P1P1B2/2N5/4PPPP/4KBNR b Kk - 2 10,20,8SxcdQNQ,e6e5,31,89,b6c5,0.0227,0.0145,0.0124,0.0233,b6c5,b6c5,b6c5,b6c5,327.0,0.0233,0.0006,True,club,03_disagreements_b2,1957,1922,1922,False,True,3,pawn,False,False,True,opening,True,False,True,False,False
r2qk2r/1b1pbppp/p1n1p3/3nP3/3P4/2PQ1N1P/2B2PP1/RNB2RK1 b kq - 4 14,28,iFDXiv5U,a8c8,-45,2,d8b6,0.0121,0.0204,0.0368,0.0467,e8g8,a6a5,g7g6,g7g6,133.0,0.0467,0.0346,True,club,03_disagreements_b2,1902,1829,1829,False,True,2,rook,False,False,True,middlegame,False,False,False,False,False
r3k2r/1b1p1ppp/pqn1p3/3nP1N1/3P4/2PQ3P/2B2PP1/RN3RK1 b kq - 0 16,32,iFDXiv5U,f7f5,-96,32,d5f4,0.016,0.0181,0.0192,0.0169,g7g6,g7g6,g7g6,h7h6,147.0,0.0192,0.0009,True,club,03_disagreements_b2,1902,1829,1829,False,True,6,pawn,False,False,True,middlegame,True,False,True,False,False
8/3p4/R2Np2Q/3kP3/1r1n4/7P/5P2/5K2 b - - 0 32,64,iFDXiv5U,d4b5,-832,95,b4b1,0.0021,0.0013,0.0008,0.0006,b4b1,b4b1,b4b1,b4b1,276.0,0.0021,-0.0015,True,club,03_disagreements_b2,1902,1829,1829,False,True,1,knight,False,False,True,endgame,False,True,False,False,False
r5k1/2q3p1/2p1prbp/1p1n4/pPpP4/P1P2BN1/3Q1PPP/R3R1K1 b - - 1 24,48,aBdZ4a4J,f6f3,117,69,a8f8,0.0105,0.0067,0.0033,0.0017,a8f8,a8f8,a8f8,a8f8,220.0,0.0105,-0.0088,True,club,03_disagreements_b2,1960,1936,1936,False,True,2,rook,True,False,False,middlegame,True,False,False,False,False
6k1/2q2bp1/2p4p/1p1nRN2/pPpP4/P2r4/4QP1P/R5K1 b - - 3 30,60,aBdZ4a4J,c7d8,199,105,f7g6,0.0111,0.0152,0.0204,0.0297,d5f4,d5f4,d5f4,d5f4,307.0,0.0297,0.0186,True,club,03_disagreements_b2,1960,1936,1936,False,True,0,queen,False,False,True,middlegame,False,True,False,False,False
8/2q3pk/2p3Np/1p1nR3/pPpP4/P2r4/4QP1P/R5K1 b - - 0 32,64,aBdZ4a4J,c7f7,-332,17,h7g6,0.0307,0.0304,0.0278,0.0275,h7g6,h7g6,h7g6,h7g6,118.0,0.0307,-0.0032,True,club,03_disagreements_b2,1960,1936,1936,False,True,7,queen,False,False,True,middlegame,False,False,False,False,False
2r3k1/4npp1/4p2p/4P3/P4PP1/1q3QK1/1r1B4/R2R4 b - - 1 34,68,KR9Vhl2R,b3b8,196,24,b3b8,0.0221,0.022,0.0199,0.0169,b3f3,b3f3,b3f3,b3c2,196.0,0.0221,-0.0052,True,club,03_disagreements_b2,1867,1979,1979,True,False,0,queen,False,False,True,middlegame,False,True,False,False,False
8/1b4bk/p1q1p1p1/6Qp/2p2P1B/2PrR3/PP4PP/4R2K b - - 0 30,60,VuVCid7x,g7f6,311,368,g7f6,0.0018,0.001,0.0008,0.0009,d3e3,d3e3,d3e3,d3e3,371.0,0.0018,-0.0009,True,club,03_disagreements_b2,2105,2073,2073,True,False,5,bishop,False,False,True,middlegame,True,False,False,False,False
5r2/6kp/p1bq4/1p1p2p1/2pP1rB1/P1Q4P/2P2PP1/4RRK1 b - - 5 28,56,R10ueRL8,f8e8,-103,0,f8f6,0.0214,0.0138,0.01,0.0092,d6f6,d6f6,d6f6,d6f6,247.0,0.0214,-0.0122,True,club,03_disagreements_b2,2001,1971,1971,False,True,5,rook,False,False,True,middlegame,False,False,False,False,False
2bq1rk1/Q3ppbp/2r3p1/nBP4n/4P3/2N1BN2/PP3PPP/1R2K2R b K - 2 16,32,E1DnWcHr,c8g4,-417,2,c6e6,0.0059,0.0061,0.0072,0.0087,c6c7,c6c7,c6c7,c6c7,132.0,0.0087,0.0028,True,club,03_disagreements_b2,1986,1916,1916,False,True,6,bishop,False,False,True,middlegame,True,False,False,False,False
2kr2nr/pp4pp/2p1p3/4P3/1P2NBb1/8/P1P2PPP/R3K2R b - - 0 14,28,pN5zwQvu,c8b8,-256,13,g4f5,0.0055,0.0062,0.0039,0.002,d8d4,g4f5,g8e7,d8d4,138.0,0.0062,-0.0035,True,club,03_disagreements_b2,1919,1858,1858,False,True,5,king,False,False,True,middlegame,False,False,False,True,False
