fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
8/4p1kp/Bp2Qbp1/p7/P2q1P2/7P/1P4P1/7K b - - 1 32,64,?,d4a4,230,92,d4f4,0.0889,0.0804,0.0649,0.0522,d4f4,d4f4,d4f4,d4f4,107.0,0.0889,-0.0367,False
8/4p1kp/Bp2Q1p1/p3b3/P4q2/1P5P/6P1/6K1 b - - 2 34,68,?,e5d4,295,127,f4e3,0.2945,0.3449,0.411,0.4549,f4h2,e5d4,e5d4,e5d4,0.0,0.4549,0.1604,False
rnbqk2r/1p2bppp/p2ppn2/6B1/3NP3/1BN5/PPP2PPP/R2QK2R b KQkq - 3 8,16,?,e8g8,19,19,d8c7,0.551,0.4886,0.4844,0.4895,e8g8,e8g8,e8g8,e8g8,0.0,0.551,-0.0615,False
rnb1k2r/2q1bppp/p2ppn2/1p3PB1/3NP3/1BN5/PPP3PP/R2QK2R b KQkq - 0 10,20,?,b5b4,-11,36,b5b4,0.0794,0.0937,0.1144,0.1509,e6e5,e6e5,e6e5,e6e5,99.0,0.1509,0.0715,False
rnb1k2r/2q2ppp/p2ppb2/5P2/1p1NP3/1B6/PPP1N1PP/R2QK2R b KQkq - 1 12,24,?,e6e5,48,23,e6e5,0.5608,0.5648,0.5848,0.6131,e6e5,e6e5,e6e5,e6e5,0.0,0.6131,0.0523,False
rn2k2r/1bq2ppp/p2p1b2/3BpP2/1p2P3/5N2/PPP1N1PP/R2QK2R b KQkq - 3 14,28,?,e8g8,55,7,e8g8,0.1266,0.0932,0.0798,0.0907,b7d5,b7d5,b7d5,b7d5,97.0,0.1266,-0.0359,False
r4rk1/1bqn1ppp/p2p1b2/3BpP2/1p2P3/2P2N2/PP2N1PP/R2Q1RK1 b - - 0 16,32,?,c7c5,140,19,a6a5,0.0125,0.0068,0.0044,0.0041,b4c3,b7d5,b4c3,b4c3,120.0,0.0125,-0.0084,True
r4rk1/1bq2ppp/3p1b2/p1nBpP2/1p2P3/2P2NN1/PP4PP/2RQ1RK1 b - - 3 18,36,?,b7d5,108,8,b7d5,0.5218,0.5606,0.5529,0.4577,b7d5,b7d5,b7d5,b7d5,0.0,0.5606,-0.0641,False
r4rk1/2q2p1p/3p1bp1/p1nQpP2/1pP1P3/5NN1/PP4PP/2R2RK1 b - - 0 20,40,?,c7b7,66,3,a8d8,0.0184,0.0199,0.0199,0.0217,a5a4,a5a4,a8d8,a8d8,29.0,0.0217,0.0033,False
3r1rk1/2q2p1p/3p1bp1/p2QpP2/npP1P3/5NN1/PPR3PP/5R1K b - - 4 22,44,?,a4c5,34,38,c7c5,0.184,0.2603,0.3235,0.3436,a4b6,a4b6,a4b6,a4b6,89.0,0.3436,0.1596,False
3r1rk1/5p1p/3p1bp1/p2RpP2/npP1P3/5NN1/PPR3PP/7K b - - 0 24,48,?,a4c5,77,48,h7h5,0.3721,0.52,0.6408,0.6627,a4c5,a4c5,a4c5,a4c5,0.0,0.6627,0.2906,False
3r1rk1/5p2/3p1bp1/p1nRpP1p/1pP1P2P/5NN1/PP1R2P1/7K b - - 2 26,52,?,f6e7,96,16,f6e7,0.2452,0.3376,0.4461,0.5238,c5b7,c5b7,f6e7,f6e7,0.0,0.5238,0.2786,False
3r1r2/4bpk1/3p2p1/p1nRpP1p/1pP1P2P/5NNK/PP1R2P1/8 b - - 6 28,56,?,d8a8,78,2,a5a4,0.0129,0.012,0.0112,0.0123,a5a4,a5a4,a5a4,a5a4,4.0,0.0129,-0.0006,False
3r1r2/4bpk1/3p2p1/2nRpPNp/p1P1P2P/Pp4NK/1P1R2P1/8 b - - 0 30,60,?,d8c8,105,14,e7g5,0.0135,0.0149,0.0188,0.0273,g6f5,f7f6,f7f6,f7f6,96.0,0.0273,0.0138,False
3r1r2/6k1/3R1pp1/2n1pPPp/p1P1P3/Pp4NK/1P1R2P1/8 b - - 0 32,64,?,d8d6,-163,72,d8d6,0.7769,0.8737,0.9211,0.929,d8d6,d8d6,d8d6,d8d6,0.0,0.929,0.1521,False
5r2/6k1/3R1p2/2n1pNPp/p1P1P3/Pp5K/1P4P1/8 b - - 0 34,68,?,g7g6,12,244,g7g6,0.8988,0.9081,0.9026,0.8701,g7g6,g7g6,g7g6,g7g6,0.0,0.9081,-0.0287,False
rnbqk2r/ppp2pp1/4p2p/8/1b1P4/2P2N2/P2BPPPP/R2QKB1R b KQkq - 0 8,16,?,b4a5,-39,6,b4e7,0.3478,0.3021,0.2178,0.0971,b4d6,b4d6,b4d6,b4d6,34.0,0.3478,-0.2507,False
rnbq1rk1/ppp1bpp1/4p2p/8/2BPP3/2P2N2/P2B1PPP/R2QK2R b KQ - 2 10,20,?,c7c5,-49,6,b7b6,0.1171,0.1331,0.1634,0.435,b8c6,b8c6,a7a6,c7c5,0.0,0.435,0.3179,False
r1bq1rk1/p1pnbpp1/1p2p2p/8/2BPP2P/2P2N2/P2BQPP1/R3K2R b KQ - 0 12,24,?,c7c5,-85,53,c8b7,0.1342,0.1362,0.1462,0.2198,c8b7,c8b7,c8b7,c8b7,55.0,0.2198,0.0856,False
