fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core,family,sim,margin
2r4k/1p2br1p/p1qp2pB/3Pp2n/7P/PN1R1P2/1PP2Q2/1K1R4 b - - 0 26,52,E2025-10_205,c6a4,0,18,c6a4,0.0361,0.0289,0.0234,0.0198,c6c4,c6c4,c6c4,c6c4,432.0,0.0361,-0.0163,True,elite,03_elite_bands2,2832,2759,2759,True,False,2,0.5701,0.0472
r2q2k1/1p2b1p1/n1p1p2P/p2pP1p1/P2P4/1P6/1BPN2Q1/2K4R b - - 0 28,56,E2025-10_206,d8e8,4,11,g7g6,0.0097,0.0087,0.0084,0.0114,g7h6,g7h6,g7h6,g7g6,176.0,0.0114,0.0017,True,elite,03_elite_bands2,2559,2564,2564,False,True,6,0.5315,0.0242
r1b1kb1r/2qpnppp/pp2p3/8/B2QP3/2N5/PPP2PPP/R1B1R1K1 b kq - 1 10,20,E2025-10_208,c7b8,-102,1,b6b5,0.0004,0.0001,0.0,0.0,c8b7,c8b7,e7c6,e7c6,162.0,0.0004,-0.0004,True,elite,03_elite_bands2,2714,2648,2648,False,True,3,0.7645,0.2442
2k5/pp2Rp2/5p2/7p/3r3P/1P4P1/1PK2P2/8 b - - 0 28,56,E2025-10_210,a7a5,-197,17,d4d7,0.0092,0.005,0.0027,0.0025,d4d7,d4d7,d4d7,d4d7,305.0,0.0092,-0.0067,True,elite,03_elite_bands2,2504,2469,2469,False,True,5,0.5962,0.3446
3rqrk1/pp1n1pb1/2p2np1/1PPpp3/3P3p/2N1PB1P/P4PPB/2RQR1K1 b - - 0 16,32,E2025-10_213,e8e6,-110,47,f6h7,0.014,0.0102,0.0073,0.0117,e5e4,e5e4,e5e4,e5e4,165.0,0.014,-0.0023,True,elite,03_elite_bands2,2558,2490,2490,False,True,2,0.6728,0.1206
3r1rk1/p2n2b1/2p1q3/2Ppppn1/Q2P3p/2N4P/P4PPB/2RBR1K1 b - - 1 22,44,E2025-10_213,e6h6,126,40,e5e4,0.0125,0.0128,0.0103,0.0085,e5e4,e5e4,e5e4,e5e4,225.0,0.0128,-0.004,True,elite,03_elite_bands2,2558,2490,2490,False,True,2,0.668,0.0504
r1b1kb1r/p1qp1pp1/2p3n1/2p1p2p/2N1P2P/3P1N2/PPPBQPP1/R3K2R b KQkq - 3 10,20,E2025-10_220,f7f6,71,33,d7d6,0.039,0.0305,0.0195,0.0144,g6f4,d7d5,d7d5,d7d5,262.0,0.039,-0.0246,True,elite,03_elite_bands2,2812,2644,2644,False,True,2,0.6672,0.0234
rn1qr1k1/2b3pp/b2Ppp1n/ppp5/3P1P2/P1N3PP/3BN1B1/R2Q1RK1 b - - 0 18,36,E2025-10_221,c7b6,-52,155,c5d4,0.0224,0.0296,0.0315,0.0342,c7d6,c7d6,c7d6,c7d6,204.0,0.0342,0.0118,True,elite,03_elite_bands2,2470,2504,2504,False,True,6,0.5862,0.0766
r2q1r1k/1p1n1p1p/p1n1pP2/3pP1b1/1P1P4/P1NQB3/4N2P/R4RK1 b - - 0 18,36,E2025-10_222,d7e5,96,1,f8g8,0.0018,0.0015,0.0017,0.0024,f8g8,f8g8,f8g8,f8g8,227.0,0.0024,0.0006,True,elite,03_elite_bands2,2505,2566,2566,False,True,6,0.6274,0.0385
r4qrk/1p1n1p1p/p1n1pP2/3pP1b1/1P1P4/P1NQB3/4N2P/R5RK b - - 4 20,40,E2025-10_222,d7e5,215,28,f8h6,0.003,0.0021,0.0019,0.0021,g5e3,g5e3,g5e3,g5e3,593.0,0.003,-0.0009,True,elite,03_elite_bands2,2505,2566,2566,False,True,6,0.6009,0.0653
5k2/1N1n1p1p/2n1pP1q/3pP3/3P4/P5Q1/4NK1P/8 b - - 4 30,60,E2025-10_222,d7f6,-214,90,c6a5,0.0154,0.0147,0.015,0.0116,h6d2,h6d2,h6d2,h6d2,1777.0,0.0154,-0.0038,True,elite,03_elite_bands2,2505,2566,2566,False,True,5,0.52,0.033
3N4/5p2/5kp1/8/2P1KPPp/1r5P/8/3R4 b - - 5 32,64,E2025-10_224,f6e7,-624,3,b3h3,0.0216,0.0182,0.0122,0.0105,b3h3,b3h3,b3h3,b3h3,299.0,0.0216,-0.0111,True,elite,03_elite_bands2,2767,2633,2633,False,True,1,0.8289,0.4405
3r1rk1/p4pbp/1pB1p1p1/5n2/2PP1P1q/4P2P/P2BQP1K/1R4R1 b - - 0 20,40,E2025-10_225,g7d4,-29,189,g7d4,0.0227,0.0215,0.0242,0.0294,d8d6,d8d6,d8d6,d8d6,179.0,0.0294,0.0067,True,elite,03_elite_bands2,2483,2587,2587,True,False,2,0.5298,0.07
r2qkb1r/pQ1npppp/3p2b1/1B6/4P3/2N3P1/PPP4P/R1B2RK1 b kq - 0 12,24,E2025-10_230,d8b6,-213,45,d8b6,0.0373,0.0316,0.0235,0.0182,a8b8,a8b8,e7e6,e7e6,331.0,0.0373,-0.0191,True,elite,03_elite_bands2,2572,2575,2575,True,False,6,0.6495,0.1285
r3kb1r/3npppp/1p1p2b1/1B1N4/4P3/6P1/PPP4P/R1B2RK1 b kq - 1 14,28,E2025-10_230,a8b8,-215,12,a8b8,0.0153,0.0156,0.0113,0.0067,g6e4,g6e4,a8c8,a8c8,223.0,0.0156,-0.0086,True,elite,03_elite_bands2,2572,2575,2575,True,False,6,0.6817,0.0999
4kb1r/3n1ppp/1B1pp3/1B6/P3b3/6P1/1PP4P/R4RK1 b k - 0 18,36,E2025-10_230,f7f5,-396,28,d6d5,0.013,0.0116,0.0134,0.0198,e4c2,e4c2,e4c2,e4c2,310.0,0.0198,0.0068,True,elite,03_elite_bands2,2572,2575,2575,False,True,1,0.7342,0.1239
r7/3nkppp/P1Bbp3/3p4/4b3/6P1/1PP2B1P/R4RK1 b - - 4 22,44,E2025-10_230,d7e5,227,626,a8c8,0.0264,0.0284,0.0329,0.0317,a8c8,a8c8,a8c8,a8c8,589.0,0.0329,0.0053,True,elite,03_elite_bands2,2572,2575,2575,False,True,1,0.7057,0.1014
r1b2rk1/pp3pp1/2n2b1p/q1Pp4/8/P1N1PN2/1PQ2PPP/2KR1B1R b - - 2 12,24,E2025-10_232,c6e7,25,18,c8e6,0.0035,0.004,0.0048,0.0059,a5c5,a5c5,a5c5,a5c5,144.0,0.0059,0.0024,True,elite,03_elite_bands2,2591,2528,2528,False,True,3,0.6306,0.0424
r4rk1/pp3p1p/2p3pB/3pP3/2P2Q2/P1N2P2/1q4PP/n4R1K b - - 1 20,40,E2025-10_242,f7f6,-34,38,f7f6,0.0102,0.0159,0.0278,0.0494,b2c3,b2c3,b2c3,b2c3,836.0,0.0494,0.0392,True,elite,03_elite_bands2,2759,2830,2830,True,False,6,0.6182,0.1945
2Q5/pp3pqk/2p2r1p/3p2n1/3PrN1R/4P1P1/PP3PK1/4R3 b - - 14 32,64,E2025-10_244,g7h8,-193,39,g5e6,0.0078,0.0054,0.0038,0.003,e4e7,e4e7,e4e7,e4e7,235.0,0.0078,-0.0048,True,elite,03_elite_bands2,2728,2627,2627,False,True,5,0.5681,0.0176
3rr1k1/pp3pp1/2p3p1/q3p1P1/3bNnQP/P2P4/1PP2PB1/1R2R1K1 b - - 0 24,48,E2025-10_245,d4b2,207,104,d4b6,0.0077,0.0058,0.0035,0.0021,f4g2,a5b6,a5b6,a5b6,206.0,0.0077,-0.0056,True,elite,03_elite_bands2,2472,2502,2502,False,True,2,0.6261,0.0497
1r5k/1q3rp1/p2p1p1p/2pP3N/2p4P/3b2R1/PP1Q1RP1/2K5 b - - 7 28,56,E2025-10_246,f7e7,297,8,b7d5,0.0151,0.0123,0.0101,0.0095,b7d5,b7d5,b7d5,b7d5,164.0,0.0151,-0.0056,True,elite,03_elite_bands2,2482,2504,2504,False,True,0,0.6772,0.1011
6rk/1p1r2p1/5p1p/5N1P/1p1P4/6R1/1qb1QPP1/4R1K1 b - - 1 32,64,E2025-10_250,b2a2,-80,27,b2a2,0.0399,0.044,0.0474,0.0491,b4b3,b4b3,b4b3,b4b3,364.0,0.0491,0.0092,True,elite,03_elite_bands2,2934,2829,2829,True,False,0,0.5597,0.0773
r1bqk2r/pp3ppp/2p2n2/2b1p3/4P3/3B3P/PPP2PP1/RNBQ1RK1 b kq - 0 8,16,E2025-10_251,g7g5,98,59,h7h6,0.0124,0.006,0.0026,0.0012,e8g8,e8g8,e8g8,e8g8,121.0,0.0124,-0.0112,True,elite,03_elite_bands2,2485,2551,2551,False,True,3,0.7261,0.2035
